,n,k,n_cycles,n_agents_in_cycles,n_matches,percent_in_cycles
0,450,6,1,32,414,0.07729468599033816
1,450,6,3,33,411,0.08029197080291971
2,450,6,1,120,421,0.2850356294536817
3,450,6,1,9,423,0.02127659574468085
4,450,6,4,27,415,0.06506024096385542
5,450,6,3,19,420,0.04523809523809524
6,450,6,1,57,418,0.13636363636363635
7,450,6,1,5,418,0.011961722488038277
8,450,6,1,68,418,0.16267942583732056
9,450,6,1,79,423,0.1867612293144208
10,450,6,1,41,416,0.0985576923076923
11,450,6,1,9,412,0.021844660194174758
12,450,6,4,89,420,0.2119047619047619
13,450,6,2,62,416,0.14903846153846154
14,450,6,1,95,417,0.2278177458033573
15,450,6,1,101,417,0.2422062350119904
16,450,6,1,82,417,0.19664268585131894
17,450,6,3,48,414,0.11594202898550725
18,450,6,1,87,425,0.20470588235294118
19,450,6,1,70,419,0.16706443914081145
20,450,6,1,8,419,0.01909307875894988
21,450,6,3,23,419,0.05489260143198091
22,450,6,2,27,419,0.06443914081145585
23,450,6,1,81,423,0.19148936170212766
24,450,6,6,70,415,0.1686746987951807
25,450,6,3,7,415,0.016867469879518072
26,450,6,2,74,416,0.1778846153846154
27,450,6,1,82,423,0.1938534278959811
28,450,6,1,32,422,0.07582938388625593
29,450,6,5,19,418,0.045454545454545456
30,450,6,2,51,421,0.12114014251781473
31,450,6,3,45,418,0.1076555023923445
32,450,6,2,10,421,0.023752969121140142
33,450,6,2,11,419,0.026252983293556086
34,450,6,2,107,422,0.25355450236966826
35,450,6,1,79,420,0.1880952380952381
36,450,6,1,92,415,0.2216867469879518
37,450,6,2,114,418,0.2727272727272727
38,450,6,2,11,413,0.026634382566585957
39,450,6,2,9,418,0.0215311004784689
40,450,6,1,79,416,0.18990384615384615
41,450,6,2,46,419,0.10978520286396182
42,450,6,2,54,422,0.12796208530805686
43,450,6,2,38,418,0.09090909090909091
44,450,6,1,62,421,0.14726840855106887
45,450,6,2,60,424,0.14150943396226415
46,450,6,4,74,417,0.1774580335731415
47,450,6,1,113,418,0.2703349282296651
48,450,6,2,50,421,0.1187648456057007
49,450,6,1,5,414,0.012077294685990338
50,450,6,2,46,417,0.11031175059952038
51,450,6,2,49,421,0.1163895486935867
52,450,6,3,36,418,0.0861244019138756
53,450,6,1,41,416,0.0985576923076923
54,450,6,2,38,416,0.09134615384615384
55,450,6,2,61,415,0.14698795180722893
56,450,6,5,25,420,0.05952380952380952
57,450,6,2,39,419,0.09307875894988067
58,450,6,1,83,421,0.19714964370546317
59,450,6,2,28,419,0.06682577565632458
60,450,6,1,63,417,0.1510791366906475
61,450,6,3,31,415,0.0746987951807229
62,450,6,2,79,410,0.1926829268292683
63,450,6,2,41,418,0.09808612440191387
64,450,6,2,60,421,0.14251781472684086
65,450,6,3,43,414,0.10386473429951691
66,450,6,4,49,416,0.11778846153846154
67,450,6,1,40,419,0.0954653937947494
68,450,6,5,32,417,0.07673860911270983
69,450,6,1,44,418,0.10526315789473684
70,450,6,2,67,415,0.1614457831325301
71,450,6,2,92,421,0.21852731591448932
72,450,6,1,33,413,0.07990314769975787
73,450,6,2,70,419,0.16706443914081145
74,450,6,2,51,416,0.12259615384615384
75,450,6,1,29,411,0.0705596107055961
76,450,6,3,40,419,0.0954653937947494
77,450,6,2,8,419,0.01909307875894988
78,450,6,3,98,420,0.23333333333333334
79,450,6,2,95,421,0.22565320665083136
80,450,6,1,88,417,0.21103117505995203
81,450,6,1,62,409,0.15158924205378974
82,450,6,2,79,419,0.18854415274463007
83,450,6,1,43,426,0.10093896713615023
84,450,6,2,40,417,0.09592326139088729
85,450,6,4,64,415,0.15421686746987953
86,450,6,3,64,419,0.15274463007159905
87,450,6,1,54,414,0.13043478260869565
88,450,6,2,60,420,0.14285714285714285
89,450,6,1,96,417,0.2302158273381295
90,450,6,2,38,424,0.08962264150943396
91,450,6,2,43,422,0.1018957345971564
92,450,6,3,50,413,0.12106537530266344
93,450,6,1,96,418,0.22966507177033493
94,450,6,1,54,419,0.1288782816229117
95,450,6,2,122,411,0.29683698296836986
96,450,6,4,21,417,0.050359712230215826
97,450,6,6,25,417,0.05995203836930456
98,450,6,2,50,417,0.11990407673860912
99,450,6,1,69,407,0.16953316953316952
100,450,6,0,0,415,0.0
101,450,6,1,71,423,0.16784869976359337
102,450,6,1,70,416,0.16826923076923078
103,450,6,1,91,412,0.220873786407767
104,450,6,2,70,414,0.16908212560386474
105,450,6,2,25,419,0.059665871121718374
106,450,6,1,59,423,0.13947990543735225
107,450,6,2,18,417,0.04316546762589928
108,450,6,4,27,418,0.0645933014354067
109,450,6,2,39,417,0.09352517985611511
110,450,6,4,15,413,0.03631961259079903
111,450,6,2,49,413,0.11864406779661017
112,450,6,4,16,416,0.038461538461538464
113,450,6,2,14,420,0.03333333333333333
114,450,6,3,89,422,0.2109004739336493
115,450,6,2,47,419,0.11217183770883055
116,450,6,1,98,414,0.23671497584541062
117,450,6,1,55,414,0.13285024154589373
118,450,6,1,41,410,0.1
119,450,6,2,32,420,0.0761904761904762
120,450,6,2,5,421,0.011876484560570071
121,450,6,2,10,425,0.023529411764705882
122,450,6,5,38,419,0.09069212410501193
123,450,6,1,82,423,0.1938534278959811
124,450,6,2,79,419,0.18854415274463007
125,450,6,3,14,416,0.03365384615384615
126,450,6,2,41,412,0.09951456310679611
127,450,6,1,99,423,0.23404255319148937
128,450,6,1,50,420,0.11904761904761904
129,450,6,4,64,415,0.15421686746987953
130,450,6,4,39,414,0.09420289855072464
131,450,6,3,45,418,0.1076555023923445
132,450,6,1,92,421,0.21852731591448932
133,450,6,2,17,421,0.040380047505938245
134,450,6,1,47,418,0.11244019138755981
135,450,6,4,18,417,0.04316546762589928
136,450,6,3,60,416,0.14423076923076922
137,450,6,1,89,417,0.21342925659472423
138,450,6,1,18,419,0.04295942720763723
139,450,6,2,41,414,0.09903381642512077
140,450,6,2,45,421,0.10688836104513064
141,450,6,1,28,414,0.06763285024154589
142,450,6,2,48,422,0.11374407582938388
143,450,6,2,50,418,0.11961722488038277
144,450,6,2,13,411,0.031630170316301706
145,450,6,2,15,420,0.03571428571428571
146,450,6,2,124,418,0.2966507177033493
147,450,6,4,49,417,0.11750599520383694
148,450,6,1,47,413,0.11380145278450363
149,450,6,1,65,421,0.1543942992874109
150,450,6,2,55,425,0.12941176470588237
151,450,6,2,68,416,0.16346153846153846
152,450,6,4,30,420,0.07142857142857142
153,450,6,1,53,411,0.12895377128953772
154,450,6,3,69,415,0.16626506024096385
155,450,6,2,31,419,0.07398568019093078
156,450,6,1,114,415,0.2746987951807229
