,n,k,n_cycles,n_agents_in_cycles,n_matches,percent_in_cycles
0,75,5,1,16,71,0.22535211267605634
1,75,5,0,0,69,0.0
2,75,5,1,2,70,0.02857142857142857
3,75,5,1,19,68,0.27941176470588236
4,75,5,1,12,69,0.17391304347826086
5,75,5,2,5,69,0.07246376811594203
6,75,5,0,0,68,0.0
7,75,5,1,7,68,0.10294117647058823
8,75,5,0,0,68,0.0
9,75,5,1,2,68,0.029411764705882353
10,75,5,0,0,69,0.0
11,75,5,0,0,68,0.0
12,75,5,2,7,65,0.1076923076923077
13,75,5,1,2,71,0.028169014084507043
14,75,5,0,0,68,0.0
15,75,5,2,16,70,0.22857142857142856
16,75,5,0,0,67,0.0
17,75,5,1,6,68,0.08823529411764706
18,75,5,1,6,71,0.08450704225352113
19,75,5,1,12,68,0.17647058823529413
20,75,5,0,0,68,0.0
21,75,5,0,0,66,0.0
22,75,5,1,4,69,0.057971014492753624
23,75,5,1,2,69,0.028985507246376812
24,75,5,2,11,68,0.16176470588235295
25,75,5,2,11,68,0.16176470588235295
26,75,5,0,0,69,0.0
27,75,5,0,0,69,0.0
28,75,5,0,0,67,0.0
29,75,5,1,4,67,0.05970149253731343
30,75,5,1,5,69,0.07246376811594203
31,75,5,1,6,66,0.09090909090909091
32,75,5,1,13,67,0.19402985074626866
33,75,5,2,5,68,0.07352941176470588
34,75,5,0,0,68,0.0
35,75,5,0,0,69,0.0
36,75,5,2,9,70,0.12857142857142856
37,75,5,1,17,71,0.23943661971830985
38,75,5,2,8,69,0.11594202898550725
39,75,5,1,20,67,0.29850746268656714
40,75,5,2,5,69,0.07246376811594203
41,75,5,0,0,70,0.0
42,75,5,3,17,68,0.25
43,75,5,2,6,70,0.08571428571428572
44,75,5,1,16,66,0.24242424242424243
45,75,5,0,0,68,0.0
46,75,5,1,17,70,0.24285714285714285
47,75,5,0,0,68,0.0
48,75,5,2,16,70,0.22857142857142856
49,75,5,1,4,68,0.058823529411764705
50,75,5,2,7,66,0.10606060606060606
51,75,5,2,6,71,0.08450704225352113
52,75,5,1,8,67,0.11940298507462686
53,75,5,0,0,67,0.0
54,75,5,0,0,64,0.0
55,75,5,2,9,69,0.13043478260869565
56,75,5,1,18,71,0.2535211267605634
57,75,5,0,0,70,0.0
58,75,5,1,2,68,0.029411764705882353
59,75,5,1,3,70,0.04285714285714286
60,75,5,1,5,67,0.07462686567164178
61,75,5,1,17,68,0.25
62,75,5,0,0,70,0.0
63,75,5,0,0,68,0.0
64,75,5,1,4,67,0.05970149253731343
65,75,5,1,3,67,0.04477611940298507
66,75,5,1,6,69,0.08695652173913043
67,75,5,0,0,71,0.0
68,75,5,0,0,70,0.0
69,75,5,1,3,71,0.04225352112676056
70,75,5,2,5,68,0.07352941176470588
71,75,5,1,3,69,0.043478260869565216
72,75,5,1,4,69,0.057971014492753624
73,75,5,0,0,71,0.0
74,75,5,1,3,67,0.04477611940298507
75,75,5,1,9,69,0.13043478260869565
76,75,5,0,0,71,0.0
77,75,5,0,0,71,0.0
78,75,5,0,0,69,0.0
79,75,5,1,11,73,0.1506849315068493
80,75,5,1,12,68,0.17647058823529413
81,75,5,2,11,70,0.15714285714285714
82,75,5,1,2,70,0.02857142857142857
83,75,5,2,18,71,0.2535211267605634
84,75,5,2,5,67,0.07462686567164178
85,75,5,1,3,70,0.04285714285714286
86,75,5,1,2,67,0.029850746268656716
87,75,5,0,0,68,0.0
88,75,5,2,6,67,0.08955223880597014
89,75,5,1,2,68,0.029411764705882353
90,75,5,2,4,68,0.058823529411764705
91,75,5,1,4,71,0.056338028169014086
92,75,5,2,25,69,0.36231884057971014
93,75,5,1,6,70,0.08571428571428572
94,75,5,1,5,68,0.07352941176470588
95,75,5,2,15,69,0.21739130434782608
96,75,5,0,0,69,0.0
97,75,5,3,10,64,0.15625
98,75,5,1,16,68,0.23529411764705882
99,75,5,1,8,72,0.1111111111111111
100,75,5,2,7,67,0.1044776119402985
101,75,5,0,0,68,0.0
102,75,5,1,4,69,0.057971014492753624
103,75,5,2,10,71,0.14084507042253522
104,75,5,0,0,65,0.0
105,75,5,1,11,70,0.15714285714285714
106,75,5,2,10,70,0.14285714285714285
107,75,5,1,3,67,0.04477611940298507
108,75,5,1,6,71,0.08450704225352113
109,75,5,1,18,69,0.2608695652173913
110,75,5,0,0,70,0.0
111,75,5,0,0,69,0.0
112,75,5,2,8,69,0.11594202898550725
113,75,5,1,6,69,0.08695652173913043
114,75,5,1,18,70,0.2571428571428571
115,75,5,3,9,69,0.13043478260869565
116,75,5,1,2,69,0.028985507246376812
117,75,5,2,13,69,0.18840579710144928
118,75,5,0,0,69,0.0
119,75,5,1,2,70,0.02857142857142857
120,75,5,1,9,67,0.13432835820895522
121,75,5,1,11,69,0.15942028985507245
122,75,5,1,5,72,0.06944444444444445
123,75,5,0,0,70,0.0
124,75,5,1,2,69,0.028985507246376812
125,75,5,1,14,69,0.2028985507246377
126,75,5,0,0,64,0.0
127,75,5,1,3,65,0.046153846153846156
128,75,5,1,2,70,0.02857142857142857
129,75,5,1,8,70,0.11428571428571428
130,75,5,2,17,66,0.25757575757575757
131,75,5,2,18,67,0.26865671641791045
132,75,5,1,6,70,0.08571428571428572
133,75,5,0,0,66,0.0
134,75,5,0,0,71,0.0
135,75,5,2,13,67,0.19402985074626866
136,75,5,0,0,67,0.0
137,75,5,2,7,69,0.10144927536231885
138,75,5,1,26,71,0.36619718309859156
139,75,5,2,18,70,0.2571428571428571
140,75,5,2,9,66,0.13636363636363635
141,75,5,1,3,68,0.04411764705882353
142,75,5,0,0,69,0.0
143,75,5,1,2,68,0.029411764705882353
144,75,5,0,0,67,0.0
145,75,5,3,11,67,0.16417910447761194
146,75,5,2,5,71,0.07042253521126761
147,75,5,0,0,67,0.0
148,75,5,1,4,68,0.058823529411764705
149,75,5,1,8,67,0.11940298507462686
150,75,5,1,2,68,0.029411764705882353
151,75,5,0,0,69,0.0
152,75,5,0,0,65,0.0
153,75,5,1,10,67,0.14925373134328357
154,75,5,0,0,66,0.0
155,75,5,1,16,71,0.22535211267605634
156,75,5,0,0,68,0.0
157,75,5,1,7,68,0.10294117647058823
158,75,5,1,7,68,0.10294117647058823
159,75,5,1,2,68,0.029411764705882353
160,75,5,2,22,68,0.3235294117647059
161,75,5,1,2,70,0.02857142857142857
162,75,5,1,2,70,0.02857142857142857
