,n,k,n_cycles,n_agents_in_cycles,n_matches,percent_in_cycles
0,900,10,1,399,867,0.4602076124567474
1,900,10,1,365,874,0.41762013729977115
2,900,10,2,439,871,0.5040183696900115
3,900,10,1,340,871,0.39035591274397247
4,900,10,2,385,873,0.44100801832760594
5,900,10,1,346,872,0.3967889908256881
6,900,10,1,374,869,0.43037974683544306
7,900,10,1,355,871,0.40757749712973596
8,900,10,1,382,873,0.43757159221076747
9,900,10,1,382,874,0.43707093821510296
10,900,10,1,428,866,0.4942263279445728
11,900,10,1,319,866,0.3683602771362587
12,900,10,1,319,868,0.3675115207373272
13,900,10,1,383,864,0.44328703703703703
14,900,10,1,343,871,0.39380022962112515
15,900,10,1,413,869,0.475258918296893
16,900,10,1,407,872,0.46674311926605505
17,900,10,1,357,875,0.408
18,900,10,1,396,863,0.45886442641946695
19,900,10,1,412,862,0.4779582366589327
20,900,10,2,337,862,0.3909512761020882
21,900,10,1,378,872,0.4334862385321101
22,900,10,1,421,884,0.4762443438914027
23,900,10,1,374,875,0.42742857142857144
24,900,10,1,406,868,0.46774193548387094
25,900,10,2,411,866,0.4745958429561201
26,900,10,1,368,866,0.42494226327944573
27,900,10,1,450,871,0.5166475315729047
28,900,10,1,358,873,0.41008018327605955
29,900,10,1,381,869,0.43843498273878023
30,900,10,2,357,869,0.4108170310701956
31,900,10,1,429,865,0.4959537572254335
32,900,10,1,354,873,0.4054982817869416
33,900,10,2,423,868,0.4873271889400922
34,900,10,2,427,870,0.4908045977011494
35,900,10,2,385,867,0.44405997693194926
36,900,10,1,402,866,0.46420323325635104
37,900,10,1,383,870,0.44022988505747124
38,900,10,1,372,872,0.42660550458715596
39,900,10,2,391,868,0.4504608294930876
40,900,10,1,396,869,0.45569620253164556
41,900,10,1,425,866,0.4907621247113164
42,900,10,1,366,862,0.4245939675174014
43,900,10,1,361,875,0.4125714285714286
44,900,10,1,402,875,0.4594285714285714
45,900,10,1,348,871,0.399540757749713
46,900,10,1,286,870,0.32873563218390806
47,900,10,1,407,876,0.4646118721461187
48,900,10,1,357,869,0.4108170310701956
49,900,10,1,271,864,0.3136574074074074
50,900,10,2,413,871,0.47416762342135477
51,900,10,1,360,868,0.4147465437788018
52,900,10,1,435,878,0.49544419134396356
53,900,10,1,358,870,0.4114942528735632
54,900,10,1,446,869,0.5132336018411968
55,900,10,1,437,865,0.5052023121387283
56,900,10,1,373,875,0.42628571428571427
57,900,10,1,403,869,0.46375143843498273
58,900,10,1,392,872,0.44954128440366975
59,900,10,1,338,871,0.3880597014925373
60,900,10,1,398,871,0.4569460390355913
61,900,10,1,374,872,0.4288990825688073
62,900,10,1,428,874,0.4897025171624714
63,900,10,1,422,873,0.4833906071019473
64,900,10,1,399,862,0.462877030162413
65,900,10,1,365,867,0.4209919261822376
66,900,10,1,316,876,0.3607305936073059
67,900,10,1,357,873,0.40893470790378006
68,900,10,1,470,873,0.5383734249713631
69,900,10,1,414,865,0.47861271676300576
70,900,10,1,385,870,0.4425287356321839
71,900,10,1,396,865,0.4578034682080925
