,n,k,n_cycles,n_agents_in_cycles,n_matches,percent_in_cycles
0,750,5,0,0,672,0.0
1,750,5,3,18,683,0.02635431918008785
2,750,5,1,12,680,0.01764705882352941
3,750,5,3,70,689,0.10159651669085631
4,750,5,2,107,684,0.1564327485380117
5,750,5,1,58,681,0.08516886930983847
6,750,5,2,16,691,0.023154848046309694
7,750,5,2,8,681,0.011747430249632892
8,750,5,2,58,687,0.08442503639010189
9,750,5,1,35,681,0.0513950073421439
10,750,5,4,38,687,0.055312954876273655
11,750,5,2,6,687,0.008733624454148471
12,750,5,1,92,680,0.13529411764705881
13,750,5,1,3,683,0.004392386530014641
14,750,5,1,96,687,0.13973799126637554
15,750,5,2,23,683,0.03367496339677892
16,750,5,2,16,684,0.023391812865497075
17,750,5,1,29,676,0.042899408284023666
18,750,5,1,38,678,0.05604719764011799
19,750,5,2,15,683,0.021961932650073207
20,750,5,3,36,677,0.053175775480059084
21,750,5,2,13,681,0.01908957415565345
22,750,5,2,22,681,0.032305433186490456
23,750,5,2,16,678,0.02359882005899705
24,750,5,1,6,686,0.008746355685131196
25,750,5,2,18,680,0.026470588235294117
26,750,5,5,33,675,0.04888888888888889
27,750,5,2,21,684,0.03070175438596491
28,750,5,1,82,679,0.12076583210603829
29,750,5,3,58,685,0.08467153284671533
30,750,5,3,13,684,0.019005847953216373
31,750,5,2,25,690,0.036231884057971016
32,750,5,1,41,680,0.060294117647058824
33,750,5,2,41,680,0.060294117647058824
34,750,5,3,52,681,0.0763582966226138
35,750,5,1,57,686,0.08309037900874636
36,750,5,2,4,684,0.005847953216374269
37,750,5,1,7,690,0.010144927536231883
38,750,5,3,31,685,0.04525547445255475
39,750,5,2,5,685,0.0072992700729927005
40,750,5,3,10,672,0.01488095238095238
41,750,5,2,4,674,0.005934718100890208
42,750,5,1,85,683,0.12445095168374817
43,750,5,1,2,675,0.002962962962962963
44,750,5,1,4,681,0.005873715124816446
45,750,5,3,24,678,0.035398230088495575
46,750,5,1,42,674,0.06231454005934718
47,750,5,2,59,681,0.08663729809104258
48,750,5,0,0,681,0.0
49,750,5,2,6,685,0.008759124087591242
50,750,5,3,8,682,0.011730205278592375
51,750,5,2,40,687,0.05822416302765648
52,750,5,3,11,679,0.016200294550810016
53,750,5,4,43,675,0.0637037037037037
54,750,5,3,9,677,0.013293943870014771
55,750,5,1,15,674,0.02225519287833828
56,750,5,2,12,676,0.01775147928994083
57,750,5,3,50,682,0.07331378299120235
58,750,5,3,21,690,0.030434782608695653
59,750,5,4,45,679,0.0662739322533137
60,750,5,3,27,671,0.040238450074515646
61,750,5,1,2,676,0.0029585798816568047
62,750,5,2,11,683,0.016105417276720352
63,750,5,2,55,682,0.08064516129032258
64,750,5,2,5,685,0.0072992700729927005
65,750,5,3,36,682,0.05278592375366569
66,750,5,2,13,684,0.019005847953216373
67,750,5,3,18,681,0.02643171806167401
68,750,5,1,3,686,0.004373177842565598
69,750,5,2,22,682,0.03225806451612903
70,750,5,1,38,681,0.055800293685756244
71,750,5,0,0,678,0.0
72,750,5,5,58,673,0.0861812778603269
73,750,5,2,74,684,0.10818713450292397
74,750,5,1,32,675,0.047407407407407405
75,750,5,5,27,681,0.039647577092511016
76,750,5,2,59,681,0.08663729809104258
77,750,5,2,42,677,0.0620384047267356
78,750,5,1,14,682,0.020527859237536656
79,750,5,1,49,678,0.07227138643067847
80,750,5,1,27,679,0.039764359351988215
81,750,5,1,52,677,0.07680945347119646
82,750,5,2,16,688,0.023255813953488372
83,750,5,1,26,691,0.03762662807525326
84,750,5,2,59,688,0.08575581395348837
85,750,5,1,2,677,0.0029542097488921715
86,750,5,2,61,680,0.08970588235294118
87,750,5,1,113,678,0.16666666666666666
88,750,5,3,43,667,0.06446776611694154
89,750,5,2,104,681,0.1527165932452276
90,750,5,1,46,681,0.06754772393538913
91,750,5,1,42,683,0.06149341142020498
92,750,5,1,28,688,0.040697674418604654
