,n,k,n_cycles,n_agents_in_cycles,n_matches,percent_in_cycles
0,1000,6,4,71,929,0.07642626480086114
1,1000,6,5,70,928,0.07543103448275862
2,1000,6,1,170,938,0.1812366737739872
3,1000,6,3,159,928,0.1713362068965517
4,1000,6,2,146,922,0.15835140997830802
5,1000,6,2,35,934,0.03747323340471092
6,1000,6,3,94,927,0.10140237324703344
7,1000,6,1,234,927,0.2524271844660194
8,1000,6,2,157,924,0.1699134199134199
9,1000,6,2,141,929,0.15177610333692143
10,1000,6,3,157,918,0.1710239651416122
11,1000,6,1,150,930,0.16129032258064516
12,1000,6,2,46,934,0.04925053533190578
13,1000,6,2,211,926,0.22786177105831534
14,1000,6,5,68,941,0.07226354941551541
15,1000,6,3,116,932,0.12446351931330472
16,1000,6,5,29,931,0.031149301825993556
17,1000,6,4,63,928,0.06788793103448276
18,1000,6,3,22,930,0.023655913978494623
19,1000,6,3,142,931,0.15252416756176154
20,1000,6,3,140,940,0.14893617021276595
21,1000,6,1,203,936,0.2168803418803419
22,1000,6,1,140,930,0.15053763440860216
23,1000,6,1,133,931,0.14285714285714285
24,1000,6,1,205,926,0.22138228941684665
25,1000,6,3,30,930,0.03225806451612903
26,1000,6,4,99,921,0.10749185667752444
27,1000,6,2,168,932,0.18025751072961374
28,1000,6,2,36,923,0.0390032502708559
29,1000,6,1,159,928,0.1713362068965517
30,1000,6,3,198,926,0.21382289416846653
31,1000,6,2,108,927,0.11650485436893204
32,1000,6,5,151,933,0.16184351554126475
33,1000,6,1,137,928,0.1476293103448276
34,1000,6,1,179,916,0.19541484716157206
35,1000,6,1,156,924,0.16883116883116883
36,1000,6,4,53,934,0.056745182012847964
37,1000,6,1,142,938,0.1513859275053305
38,1000,6,2,68,923,0.07367280606717226
39,1000,6,2,125,914,0.13676148796498905
40,1000,6,1,126,925,0.1362162162162162
41,1000,6,1,159,928,0.1713362068965517
42,1000,6,1,131,939,0.1395101171458999
43,1000,6,1,130,940,0.13829787234042554
44,1000,6,2,175,929,0.1883745963401507
45,1000,6,3,173,931,0.1858216970998926
46,1000,6,4,124,932,0.13304721030042918
47,1000,6,3,61,928,0.06573275862068965
48,1000,6,1,150,925,0.16216216216216217
49,1000,6,2,35,920,0.03804347826086957
50,1000,6,4,48,921,0.05211726384364821
51,1000,6,3,95,936,0.1014957264957265
52,1000,6,2,153,931,0.16433941997851773
53,1000,6,2,79,923,0.08559046587215602
54,1000,6,1,167,932,0.1791845493562232
55,1000,6,1,178,936,0.19017094017094016
56,1000,6,2,19,926,0.020518358531317494
57,1000,6,2,129,923,0.13976164680390032
58,1000,6,2,70,933,0.07502679528403002
59,1000,6,2,109,921,0.11834961997828447
60,1000,6,1,124,919,0.13492927094668117
61,1000,6,2,140,924,0.15151515151515152
62,1000,6,2,139,927,0.1499460625674218
63,1000,6,1,128,936,0.13675213675213677
64,1000,6,3,104,924,0.11255411255411256
65,1000,6,2,158,922,0.17136659436008678
66,1000,6,1,201,926,0.21706263498920086
67,1000,6,3,55,923,0.059588299024918745
68,1000,6,3,107,926,0.11555075593952484
69,1000,6,2,113,927,0.12189859762675297
70,1000,6,1,156,935,0.16684491978609625
71,1000,6,1,184,933,0.19721329046087888
72,1000,6,2,61,929,0.06566200215285253
73,1000,6,2,154,932,0.16523605150214593
74,1000,6,2,177,921,0.19218241042345277
75,1000,6,3,67,933,0.07181136120042872
76,1000,6,3,140,932,0.15021459227467812
77,1000,6,1,173,928,0.18642241379310345
78,1000,6,2,141,932,0.15128755364806867
79,1000,6,4,25,935,0.026737967914438502
80,1000,6,2,52,933,0.055734190782422297
81,1000,6,1,136,918,0.14814814814814814
82,1000,6,2,217,929,0.23358449946178686
83,1000,6,2,155,924,0.16774891774891776
84,1000,6,1,162,930,0.17419354838709677
85,1000,6,1,207,927,0.22330097087378642
86,1000,6,1,162,934,0.1734475374732334
