,n,k,n_cycles,n_agents_in_cycles,n_matches,percent_in_cycles
0,925,8,1,349,881,0.3961407491486947
1,925,8,1,274,875,0.31314285714285717
2,925,8,2,300,879,0.3412969283276451
3,925,8,1,265,881,0.300794551645857
4,925,8,2,304,878,0.3462414578587699
5,925,8,1,240,876,0.273972602739726
6,925,8,1,270,883,0.3057757644394111
7,925,8,1,312,875,0.3565714285714286
8,925,8,1,250,876,0.2853881278538813
9,925,8,2,301,880,0.34204545454545454
10,925,8,1,303,870,0.3482758620689655
11,925,8,1,297,879,0.3378839590443686
12,925,8,3,268,880,0.30454545454545456
13,925,8,1,272,880,0.3090909090909091
14,925,8,2,294,890,0.3303370786516854
15,925,8,1,264,881,0.2996594778660613
16,925,8,1,310,883,0.3510758776896942
17,925,8,1,250,879,0.2844141069397042
18,925,8,1,242,873,0.27720504009163804
19,925,8,1,286,876,0.3264840182648402
20,925,8,1,277,877,0.31584948688711517
21,925,8,1,239,885,0.27005649717514124
22,925,8,1,314,883,0.3556058890147225
23,925,8,1,274,882,0.31065759637188206
24,925,8,1,234,875,0.2674285714285714
25,925,8,1,280,877,0.31927023945267957
26,925,8,1,342,880,0.3886363636363636
27,925,8,1,234,883,0.2650056625141563
28,925,8,2,255,872,0.29243119266055045
29,925,8,1,271,885,0.30621468926553674
30,925,8,1,327,890,0.36741573033707864
31,925,8,3,300,885,0.3389830508474576
32,925,8,2,218,879,0.24800910125142206
33,925,8,2,305,879,0.34698521046643915
34,925,8,1,302,880,0.3431818181818182
35,925,8,1,286,869,0.3291139240506329
36,925,8,2,263,881,0.2985244040862656
37,925,8,2,275,884,0.31108597285067874
38,925,8,1,266,878,0.30296127562642367
39,925,8,1,327,878,0.3724373576309795
40,925,8,1,307,878,0.34965831435079725
41,925,8,2,248,884,0.28054298642533937
42,925,8,1,322,881,0.3654937570942111
43,925,8,3,221,885,0.2497175141242938
44,925,8,2,322,882,0.36507936507936506
45,925,8,1,332,886,0.3747178329571106
46,925,8,2,283,875,0.32342857142857145
47,925,8,1,313,890,0.35168539325842696
48,925,8,1,304,870,0.34942528735632183
49,925,8,1,283,884,0.3201357466063348
50,925,8,1,377,883,0.4269535673839185
51,925,8,1,313,884,0.35407239819004527
52,925,8,3,277,880,0.31477272727272726
53,925,8,3,248,878,0.2824601366742597
54,925,8,1,238,875,0.272
55,925,8,1,333,882,0.37755102040816324
56,925,8,1,269,881,0.30533484676503975
57,925,8,1,342,884,0.38687782805429866
58,925,8,1,309,886,0.34875846501128666
59,925,8,1,333,878,0.3792710706150342
60,925,8,1,309,890,0.3471910112359551
61,925,8,1,247,887,0.27846674182638104
62,925,8,1,259,873,0.29667812142038946
63,925,8,1,312,872,0.3577981651376147
64,925,8,1,274,882,0.31065759637188206
65,925,8,1,256,885,0.28926553672316385
66,925,8,1,261,881,0.29625425652667425
67,925,8,2,314,871,0.3605051664753157
68,925,8,4,236,870,0.271264367816092
69,925,8,2,255,876,0.2910958904109589
70,925,8,1,248,880,0.2818181818181818
71,925,8,1,285,882,0.3231292517006803
72,925,8,2,289,876,0.3299086757990868
73,925,8,1,303,878,0.3451025056947608
74,925,8,1,340,878,0.38724373576309795
75,925,8,1,264,871,0.3030998851894374
76,925,8,2,213,879,0.24232081911262798
77,925,8,1,312,877,0.3557582668187001
78,925,8,2,291,878,0.3314350797266515
79,925,8,2,309,882,0.35034013605442177
80,925,8,1,291,882,0.3299319727891156
81,925,8,2,283,878,0.3223234624145786
82,925,8,1,298,874,0.34096109839816935
83,925,8,2,239,876,0.2728310502283105
84,925,8,1,320,887,0.36076662908680945
85,925,8,1,376,885,0.4248587570621469
86,925,8,1,319,889,0.35883014623172105
87,925,8,1,260,877,0.29646522234891676
88,925,8,2,283,876,0.3230593607305936
89,925,8,1,273,884,0.3088235294117647
90,925,8,1,252,885,0.2847457627118644
91,925,8,1,229,876,0.2614155251141553
92,925,8,2,257,879,0.2923777019340159
93,925,8,2,281,882,0.31859410430839
94,925,8,1,375,883,0.4246885617214043
95,925,8,1,299,882,0.33900226757369617
96,925,8,1,302,886,0.34085778781038373
97,925,8,2,202,879,0.229806598407281
98,925,8,1,232,881,0.2633371169125993
99,925,8,2,238,879,0.2707622298065984
100,925,8,2,306,881,0.3473325766174801
101,925,8,2,237,878,0.26993166287015946
102,925,8,1,275,883,0.3114382785956965
103,925,8,1,325,878,0.3701594533029613
104,925,8,1,275,884,0.31108597285067874
105,925,8,1,307,879,0.3492605233219568
106,925,8,1,289,880,0.32840909090909093
107,925,8,1,294,877,0.3352337514253136
108,925,8,1,287,874,0.32837528604118993
109,925,8,1,254,879,0.28896473265073946
110,925,8,1,265,880,0.30113636363636365
