,n,k,n_cycles,n_agents_in_cycles,n_matches,percent_in_cycles
0,10000,10,1,4430,9641,0.45949590291463543
1,10000,10,1,4284,9666,0.44320297951582865
2,10000,10,1,4266,9640,0.4425311203319502
3,10000,10,3,4512,9644,0.46785566155122355
4,10000,10,1,4267,9669,0.4413072706588065
5,10000,10,1,4305,9653,0.4459753444525018
6,10000,10,1,4209,9665,0.4354888773926539
7,10000,10,1,4191,9651,0.43425551756294684
8,10000,10,1,4317,9648,0.4474502487562189
9,10000,10,1,4466,9667,0.46198406951484433
10,10000,10,1,4145,9662,0.42900020699648106
11,10000,10,1,4527,9664,0.46843956953642385
12,10000,10,1,4168,9644,0.4321858150145168
13,10000,10,1,4421,9670,0.4571871768355739
14,10000,10,3,4266,9664,0.441432119205298
15,10000,10,2,4374,9653,0.45312338133222835
16,10000,10,1,4423,9668,0.4574886222589988
17,10000,10,1,4283,9643,0.4441563828684019
18,10000,10,1,4438,9656,0.4596106048053024
19,10000,10,1,4491,9655,0.4651475919212843
20,10000,10,1,4110,9642,0.42626011200995645
21,10000,10,1,4377,9661,0.45305868957664835
22,10000,10,1,4517,9662,0.467501552473608
23,10000,10,1,4333,9672,0.4479942100909843
24,10000,10,1,4230,9658,0.4379788776144129
25,10000,10,1,4114,9658,0.42596810933940776
26,10000,10,1,4420,9652,0.4579361790302528
27,10000,10,1,4510,9652,0.467260671363448
28,10000,10,1,4253,9666,0.4399958617835713
29,10000,10,1,4351,9640,0.45134854771784233
30,10000,10,1,4268,9646,0.4424631971801783
31,10000,10,1,4344,9674,0.44903866032664874
32,10000,10,1,4327,9660,0.4479296066252588
33,10000,10,1,4136,9658,0.428246013667426
34,10000,10,1,4327,9655,0.448161574313827
35,10000,10,2,4167,9647,0.43194775577899863
36,10000,10,1,4395,9652,0.4553460422710319
37,10000,10,1,4346,9641,0.45078311378487707
38,10000,10,1,4244,9631,0.4406603675630776
39,10000,10,1,4294,9650,0.4449740932642487
40,10000,10,1,4407,9671,0.4556922758763313
41,10000,10,1,4406,9665,0.45587170201758925
42,10000,10,1,4251,9648,0.4406094527363184
43,10000,10,1,4122,9665,0.4264873254009312
44,10000,10,1,4319,9674,0.44645441389290885
45,10000,10,1,4407,9643,0.45701545162293894
46,10000,10,1,4320,9660,0.4472049689440994
47,10000,10,1,4158,9652,0.4307915457936179
48,10000,10,1,4296,9670,0.4442605997931748
49,10000,10,1,4217,9659,0.4365876384718915
50,10000,10,1,4496,9638,0.4664868229923221
51,10000,10,2,4375,9665,0.4526642524573202
52,10000,10,1,4238,9631,0.44003737929602327
53,10000,10,1,4129,9641,0.42827507519966806
54,10000,10,1,4313,9664,0.44629552980132453
55,10000,10,1,4091,9659,0.4235428098146806
56,10000,10,1,4269,9655,0.44215432418436046
57,10000,10,1,4374,9674,0.45213975604713663
58,10000,10,1,4371,9659,0.45253131794181595
59,10000,10,1,4401,9634,0.4568195972597052
60,10000,10,1,4355,9656,0.4510149130074565
61,10000,10,1,4228,9673,0.4370929391088597
62,10000,10,1,4206,9650,0.4358549222797927
63,10000,10,1,4304,9646,0.4461953141198424
64,10000,10,1,4516,9686,0.4662399339252529
65,10000,10,1,4417,9627,0.45881375298639243
66,10000,10,1,4278,9654,0.44313238036047237
67,10000,10,1,4417,9669,0.45682076740097216
68,10000,10,1,4353,9650,0.4510880829015544
69,10000,10,2,4124,9634,0.4280672617811916
70,10000,10,1,4594,9671,0.47502843552890084
71,10000,10,1,4190,9664,0.433567880794702
72,10000,10,1,4356,9662,0.4508383357482923
73,10000,10,1,4325,9651,0.4481400891099368
74,10000,10,1,4391,9653,0.4548844918678131
75,10000,10,1,4128,9668,0.4269755895738519
76,10000,10,1,4154,9644,0.4307341352136043
77,10000,10,2,4320,9656,0.44739022369511183
78,10000,10,1,4377,9657,0.45324634979807393
79,10000,10,1,4420,9651,0.45798362863951925
80,10000,10,2,4281,9642,0.4439950217797137
81,10000,10,1,4427,9660,0.4582815734989648
82,10000,10,1,4446,9646,0.4609164420485175
83,10000,10,2,4218,9642,0.4374611076540137
84,10000,10,1,4234,9657,0.43843843843843844
85,10000,10,1,4350,9652,0.4506837961044343
86,10000,10,1,4348,9639,0.45108413735864716
87,10000,10,1,4383,9675,0.4530232558139535
88,10000,10,1,4308,9668,0.4455937112122466
89,10000,10,1,4404,9652,0.4562784915043514
90,10000,10,1,4293,9660,0.44440993788819877
91,10000,10,2,4221,9651,0.4373640037301834
92,10000,10,1,4417,9666,0.4569625491413201
93,10000,10,1,4255,9647,0.4410697626205038
94,10000,10,1,4268,9656,0.4420049710024855
95,10000,10,2,4427,9649,0.45880402114208724
96,10000,10,1,4281,9642,0.4439950217797137
97,10000,10,1,4419,9673,0.45683862297115685
98,10000,10,1,4382,9669,0.4532009514944669
99,10000,10,2,4322,9652,0.4477828429341069
