,n,k,n_changes,n_matches,percent_changed
0,525,3,0,443,0.0
1,525,3,2,442,0.004524886877828055
2,525,3,0,443,0.0
3,525,3,0,451,0.0
4,525,3,0,434,0.0
5,525,3,3,445,0.006741573033707865
6,525,3,8,441,0.018140589569160998
7,525,3,0,436,0.0
8,525,3,3,444,0.006756756756756757
9,525,3,0,431,0.0
10,525,3,0,441,0.0
11,525,3,0,429,0.0
12,525,3,0,447,0.0
13,525,3,2,445,0.0044943820224719105
14,525,3,2,439,0.004555808656036446
15,525,3,0,449,0.0
16,525,3,0,445,0.0
17,525,3,0,447,0.0
18,525,3,0,434,0.0
19,525,3,0,448,0.0
20,525,3,0,452,0.0
21,525,3,2,445,0.0044943820224719105
22,525,3,0,448,0.0
23,525,3,0,442,0.0
24,525,3,0,440,0.0
25,525,3,4,428,0.009345794392523364
26,525,3,0,436,0.0
27,525,3,0,449,0.0
28,525,3,0,447,0.0
29,525,3,2,440,0.004545454545454545
30,525,3,0,442,0.0
31,525,3,0,440,0.0
32,525,3,3,444,0.006756756756756757
33,525,3,2,440,0.004545454545454545
34,525,3,0,445,0.0
35,525,3,0,435,0.0
36,525,3,0,444,0.0
37,525,3,0,452,0.0
38,525,3,0,442,0.0
39,525,3,0,442,0.0
40,525,3,0,445,0.0
41,525,3,0,439,0.0
42,525,3,0,438,0.0
43,525,3,0,431,0.0
44,525,3,0,440,0.0
45,525,3,0,436,0.0
46,525,3,3,439,0.00683371298405467
47,525,3,3,438,0.00684931506849315
48,525,3,4,445,0.008988764044943821
49,525,3,2,441,0.0045351473922902496
50,525,3,2,448,0.004464285714285714
51,525,3,0,437,0.0
52,525,3,0,447,0.0
53,525,3,0,437,0.0
54,525,3,0,446,0.0
55,525,3,0,451,0.0
56,525,3,2,445,0.0044943820224719105
57,525,3,2,434,0.004608294930875576
58,525,3,0,436,0.0
59,525,3,0,437,0.0
60,525,3,4,439,0.009111617312072893
61,525,3,0,450,0.0
62,525,3,0,437,0.0
63,525,3,0,451,0.0
64,525,3,0,434,0.0
65,525,3,0,439,0.0
66,525,3,0,448,0.0
67,525,3,0,447,0.0
68,525,3,0,442,0.0
69,525,3,0,435,0.0
70,525,3,5,442,0.011312217194570135
71,525,3,0,451,0.0
72,525,3,0,441,0.0
73,525,3,0,443,0.0
74,525,3,0,440,0.0
75,525,3,2,449,0.004454342984409799
76,525,3,0,440,0.0
77,525,3,0,448,0.0
78,525,3,0,446,0.0
79,525,3,0,434,0.0
80,525,3,0,440,0.0
81,525,3,0,442,0.0
82,525,3,0,440,0.0
83,525,3,0,433,0.0
84,525,3,2,441,0.0045351473922902496
85,525,3,0,454,0.0
86,525,3,0,445,0.0
87,525,3,0,446,0.0
88,525,3,0,443,0.0
89,525,3,3,446,0.006726457399103139
90,525,3,3,438,0.00684931506849315
91,525,3,0,429,0.0
92,525,3,0,443,0.0
93,525,3,0,446,0.0
94,525,3,0,441,0.0
95,525,3,0,443,0.0
96,525,3,0,444,0.0
97,525,3,5,435,0.011494252873563218
98,525,3,0,440,0.0
99,525,3,0,440,0.0
