,n,k,n_changes,n_matches,percent_changed
0,625,7,102,595,0.17142857142857143
1,625,7,83,587,0.141396933560477
2,625,7,104,589,0.1765704584040747
3,625,7,96,592,0.16216216216216217
4,625,7,35,593,0.05902192242833052
5,625,7,119,596,0.19966442953020133
6,625,7,111,589,0.18845500848896435
7,625,7,104,583,0.1783876500857633
8,625,7,120,592,0.20270270270270271
9,625,7,136,591,0.23011844331641285
10,625,7,124,587,0.21124361158432708
11,625,7,86,584,0.14726027397260275
12,625,7,116,592,0.19594594594594594
13,625,7,68,588,0.11564625850340136
14,625,7,79,586,0.1348122866894198
15,625,7,128,593,0.21585160202360876
16,625,7,68,585,0.11623931623931624
17,625,7,102,588,0.17346938775510204
18,625,7,97,588,0.1649659863945578
19,625,7,75,589,0.1273344651952462
20,625,7,96,584,0.1643835616438356
21,625,7,75,591,0.12690355329949238
22,625,7,102,589,0.1731748726655348
23,625,7,109,595,0.18319327731092436
24,625,7,78,584,0.13356164383561644
25,625,7,175,590,0.2966101694915254
26,625,7,81,588,0.1377551020408163
27,625,7,67,587,0.1141396933560477
28,625,7,96,590,0.16271186440677965
29,625,7,115,595,0.19327731092436976
30,625,7,131,589,0.22241086587436332
31,625,7,88,590,0.14915254237288136
32,625,7,74,586,0.12627986348122866
33,625,7,128,590,0.21694915254237288
34,625,7,83,589,0.14091680814940577
35,625,7,92,591,0.155668358714044
36,625,7,146,592,0.24662162162162163
37,625,7,63,586,0.1075085324232082
38,625,7,109,590,0.1847457627118644
39,625,7,73,587,0.12436115843270869
40,625,7,90,591,0.15228426395939088
41,625,7,114,582,0.1958762886597938
42,625,7,112,581,0.1927710843373494
43,625,7,100,579,0.17271157167530224
44,625,7,78,589,0.13242784380305603
45,625,7,95,585,0.1623931623931624
46,625,7,80,586,0.13651877133105803
47,625,7,110,589,0.1867572156196944
48,625,7,119,589,0.20203735144312393
49,625,7,54,585,0.09230769230769231
50,625,7,76,595,0.12773109243697478
51,625,7,73,584,0.125
52,625,7,60,595,0.10084033613445378
53,625,7,62,589,0.10526315789473684
54,625,7,95,588,0.16156462585034015
55,625,7,129,592,0.2179054054054054
56,625,7,102,595,0.17142857142857143
57,625,7,87,594,0.14646464646464646
58,625,7,97,591,0.16412859560067683
59,625,7,58,587,0.09880749574105621
60,625,7,118,588,0.20068027210884354
61,625,7,120,591,0.20304568527918782
62,625,7,98,589,0.166383701188455
63,625,7,82,590,0.13898305084745763
64,625,7,87,592,0.14695945945945946
65,625,7,113,596,0.18959731543624161
66,625,7,78,585,0.13333333333333333
67,625,7,138,585,0.2358974358974359
68,625,7,104,590,0.17627118644067796
69,625,7,149,591,0.2521150592216582
70,625,7,106,591,0.1793570219966159
71,625,7,66,585,0.11282051282051282
72,625,7,72,590,0.12203389830508475
73,625,7,64,586,0.10921501706484642
74,625,7,141,585,0.24102564102564103
75,625,7,99,584,0.1695205479452055
76,625,7,61,587,0.10391822827938671
77,625,7,84,591,0.14213197969543148
78,625,7,155,589,0.2631578947368421
79,625,7,92,590,0.15593220338983052
80,625,7,73,596,0.12248322147651007
81,625,7,84,582,0.14432989690721648
82,625,7,115,589,0.19524617996604415
83,625,7,90,590,0.15254237288135594
84,625,7,70,586,0.11945392491467577
85,625,7,79,595,0.13277310924369748
86,625,7,113,594,0.19023569023569023
87,625,7,90,591,0.15228426395939088
88,625,7,129,592,0.2179054054054054
89,625,7,111,591,0.18781725888324874
90,625,7,103,584,0.17636986301369864
91,625,7,137,592,0.23141891891891891
92,625,7,118,589,0.200339558573854
93,625,7,69,591,0.116751269035533
94,625,7,126,590,0.2135593220338983
95,625,7,93,587,0.15843270868824533
96,625,7,113,593,0.1905564924114671
97,625,7,108,586,0.18430034129692832
98,625,7,46,589,0.07809847198641766
99,625,7,122,590,0.20677966101694914
