,n,k,n_changes,n_matches,percent_changed
0,425,5,22,386,0.05699481865284974
1,425,5,10,383,0.02610966057441253
2,425,5,22,387,0.056847545219638244
3,425,5,27,390,0.06923076923076923
4,425,5,11,384,0.028645833333333332
5,425,5,19,385,0.04935064935064935
6,425,5,18,386,0.046632124352331605
7,425,5,15,377,0.03978779840848806
8,425,5,11,383,0.028720626631853787
9,425,5,10,383,0.02610966057441253
10,425,5,3,386,0.007772020725388601
11,425,5,7,388,0.01804123711340206
12,425,5,32,386,0.08290155440414508
13,425,5,8,385,0.02077922077922078
14,425,5,44,383,0.11488250652741515
15,425,5,8,388,0.020618556701030927
16,425,5,51,384,0.1328125
17,425,5,24,382,0.06282722513089005
18,425,5,23,389,0.05912596401028278
19,425,5,23,391,0.058823529411764705
20,425,5,14,385,0.03636363636363636
21,425,5,12,382,0.031413612565445025
22,425,5,41,386,0.10621761658031088
23,425,5,5,387,0.012919896640826873
24,425,5,5,390,0.01282051282051282
25,425,5,3,386,0.007772020725388601
26,425,5,12,387,0.031007751937984496
27,425,5,9,380,0.02368421052631579
28,425,5,38,393,0.09669211195928754
29,425,5,21,390,0.05384615384615385
30,425,5,6,388,0.015463917525773196
31,425,5,31,384,0.08072916666666667
32,425,5,24,385,0.06233766233766234
33,425,5,21,388,0.05412371134020619
34,425,5,11,387,0.028423772609819122
35,425,5,4,379,0.010554089709762533
36,425,5,11,392,0.02806122448979592
37,425,5,4,387,0.0103359173126615
38,425,5,16,387,0.041343669250646
39,425,5,18,387,0.046511627906976744
40,425,5,5,391,0.01278772378516624
41,425,5,0,389,0.0
42,425,5,0,379,0.0
43,425,5,6,386,0.015544041450777202
44,425,5,4,378,0.010582010582010581
45,425,5,3,387,0.007751937984496124
46,425,5,0,386,0.0
47,425,5,0,383,0.0
48,425,5,44,392,0.11224489795918367
49,425,5,13,391,0.03324808184143223
50,425,5,27,380,0.07105263157894737
51,425,5,34,383,0.08877284595300261
52,425,5,0,386,0.0
53,425,5,38,386,0.09844559585492228
54,425,5,23,391,0.058823529411764705
55,425,5,25,387,0.06459948320413436
56,425,5,10,385,0.025974025974025976
57,425,5,5,389,0.012853470437017995
58,425,5,24,390,0.06153846153846154
59,425,5,12,391,0.030690537084398978
60,425,5,31,383,0.08093994778067885
61,425,5,35,391,0.08951406649616368
62,425,5,50,393,0.1272264631043257
63,425,5,3,385,0.007792207792207792
64,425,5,3,387,0.007751937984496124
65,425,5,10,388,0.02577319587628866
66,425,5,7,387,0.01808785529715762
67,425,5,10,388,0.02577319587628866
68,425,5,17,387,0.04392764857881137
69,425,5,22,386,0.05699481865284974
70,425,5,14,391,0.03580562659846547
71,425,5,35,386,0.09067357512953368
72,425,5,3,382,0.007853403141361256
73,425,5,14,392,0.03571428571428571
74,425,5,38,387,0.09819121447028424
75,425,5,3,383,0.007832898172323759
76,425,5,6,388,0.015463917525773196
77,425,5,18,388,0.04639175257731959
78,425,5,31,390,0.07948717948717948
79,425,5,4,380,0.010526315789473684
80,425,5,5,390,0.01282051282051282
81,425,5,3,385,0.007792207792207792
82,425,5,14,391,0.03580562659846547
83,425,5,42,391,0.10741687979539642
84,425,5,8,384,0.020833333333333332
85,425,5,7,388,0.01804123711340206
86,425,5,30,390,0.07692307692307693
87,425,5,2,383,0.005221932114882507
88,425,5,4,379,0.010554089709762533
89,425,5,6,393,0.015267175572519083
90,425,5,5,391,0.01278772378516624
91,425,5,14,387,0.03617571059431524
92,425,5,2,385,0.005194805194805195
93,425,5,23,386,0.05958549222797927
94,425,5,14,380,0.03684210526315789
95,425,5,22,389,0.056555269922879174
96,425,5,29,387,0.07493540051679587
97,425,5,0,380,0.0
98,425,5,19,386,0.04922279792746114
99,425,5,4,387,0.0103359173126615
