,n,k,n_changes,n_matches,percent_changed
0,275,6,40,252,0.15873015873015872
1,275,6,24,260,0.09230769230769231
2,275,6,27,257,0.10505836575875487
3,275,6,15,256,0.05859375
4,275,6,19,257,0.07392996108949416
5,275,6,32,254,0.12598425196850394
6,275,6,50,255,0.19607843137254902
7,275,6,19,254,0.07480314960629922
8,275,6,24,255,0.09411764705882353
9,275,6,15,252,0.05952380952380952
10,275,6,11,254,0.04330708661417323
11,275,6,2,257,0.007782101167315175
12,275,6,29,259,0.11196911196911197
13,275,6,4,258,0.015503875968992248
14,275,6,26,258,0.10077519379844961
15,275,6,17,253,0.06719367588932806
16,275,6,52,256,0.203125
17,275,6,12,257,0.04669260700389105
18,275,6,20,256,0.078125
19,275,6,23,258,0.08914728682170543
20,275,6,55,252,0.21825396825396826
21,275,6,29,255,0.11372549019607843
22,275,6,29,256,0.11328125
23,275,6,25,255,0.09803921568627451
24,275,6,36,255,0.1411764705882353
25,275,6,58,254,0.2283464566929134
26,275,6,42,257,0.16342412451361868
27,275,6,38,258,0.14728682170542637
28,275,6,29,258,0.1124031007751938
29,275,6,39,253,0.1541501976284585
30,275,6,33,256,0.12890625
31,275,6,12,260,0.046153846153846156
32,275,6,18,252,0.07142857142857142
33,275,6,3,254,0.011811023622047244
34,275,6,17,255,0.06666666666666667
35,275,6,21,252,0.08333333333333333
36,275,6,4,258,0.015503875968992248
37,275,6,31,258,0.12015503875968993
38,275,6,28,251,0.11155378486055777
39,275,6,35,255,0.13725490196078433
40,275,6,24,254,0.09448818897637795
41,275,6,40,250,0.16
42,275,6,25,257,0.09727626459143969
43,275,6,24,249,0.0963855421686747
44,275,6,35,251,0.1394422310756972
45,275,6,12,251,0.04780876494023904
46,275,6,32,250,0.128
47,275,6,10,259,0.03861003861003861
48,275,6,36,258,0.13953488372093023
49,275,6,26,254,0.10236220472440945
50,275,6,55,253,0.21739130434782608
51,275,6,15,253,0.05928853754940711
52,275,6,27,257,0.10505836575875487
53,275,6,20,253,0.07905138339920949
54,275,6,34,255,0.13333333333333333
55,275,6,34,254,0.13385826771653545
56,275,6,16,256,0.0625
57,275,6,46,254,0.18110236220472442
58,275,6,21,250,0.084
59,275,6,26,260,0.1
60,275,6,7,256,0.02734375
61,275,6,7,259,0.02702702702702703
62,275,6,23,254,0.09055118110236221
63,275,6,31,253,0.1225296442687747
64,275,6,14,255,0.054901960784313725
65,275,6,11,260,0.04230769230769231
66,275,6,9,254,0.03543307086614173
67,275,6,63,256,0.24609375
68,275,6,0,252,0.0
69,275,6,32,248,0.12903225806451613
70,275,6,5,255,0.0196078431372549
71,275,6,31,251,0.12350597609561753
72,275,6,21,261,0.08045977011494253
73,275,6,15,253,0.05928853754940711
74,275,6,19,254,0.07480314960629922
75,275,6,36,254,0.14173228346456693
76,275,6,25,255,0.09803921568627451
77,275,6,2,251,0.00796812749003984
78,275,6,27,255,0.10588235294117647
79,275,6,25,256,0.09765625
80,275,6,14,255,0.054901960784313725
81,275,6,22,255,0.08627450980392157
82,275,6,38,255,0.14901960784313725
83,275,6,26,253,0.10276679841897234
84,275,6,24,254,0.09448818897637795
85,275,6,36,253,0.1422924901185771
86,275,6,24,258,0.09302325581395349
87,275,6,50,255,0.19607843137254902
88,275,6,34,256,0.1328125
89,275,6,29,253,0.11462450592885376
90,275,6,34,257,0.13229571984435798
91,275,6,21,255,0.08235294117647059
92,275,6,41,255,0.1607843137254902
93,275,6,6,257,0.023346303501945526
94,275,6,14,253,0.05533596837944664
95,275,6,44,253,0.17391304347826086
96,275,6,26,253,0.10276679841897234
97,275,6,13,258,0.050387596899224806
98,275,6,59,257,0.22957198443579765
99,275,6,39,256,0.15234375
