,n,k,n_changes,n_matches,percent_changed
0,325,10,113,318,0.3553459119496855
1,325,10,99,316,0.31329113924050633
2,325,10,104,313,0.33226837060702874
3,325,10,111,311,0.35691318327974275
4,325,10,63,313,0.2012779552715655
5,325,10,142,316,0.44936708860759494
6,325,10,116,316,0.3670886075949367
7,325,10,111,315,0.3523809523809524
8,325,10,135,316,0.4272151898734177
9,325,10,113,314,0.35987261146496813
10,325,10,121,318,0.3805031446540881
11,325,10,138,315,0.4380952380952381
12,325,10,96,316,0.3037974683544304
13,325,10,66,314,0.21019108280254778
14,325,10,113,313,0.3610223642172524
15,325,10,109,317,0.3438485804416404
16,325,10,115,313,0.36741214057507987
17,325,10,92,314,0.2929936305732484
18,325,10,100,312,0.32051282051282054
19,325,10,124,318,0.389937106918239
20,325,10,129,315,0.4095238095238095
21,325,10,118,316,0.37341772151898733
22,325,10,139,317,0.4384858044164038
23,325,10,114,316,0.36075949367088606
24,325,10,111,317,0.3501577287066246
25,325,10,87,313,0.2779552715654952
26,325,10,94,316,0.2974683544303797
27,325,10,145,314,0.46178343949044587
28,325,10,85,315,0.2698412698412698
29,325,10,83,315,0.2634920634920635
30,325,10,125,313,0.3993610223642173
31,325,10,103,314,0.32802547770700635
32,325,10,83,317,0.2618296529968454
33,325,10,104,314,0.33121019108280253
34,325,10,118,316,0.37341772151898733
35,325,10,119,316,0.37658227848101267
36,325,10,70,315,0.2222222222222222
37,325,10,81,313,0.25878594249201275
38,325,10,108,315,0.34285714285714286
39,325,10,125,311,0.40192926045016075
40,325,10,99,314,0.31528662420382164
41,325,10,117,313,0.3738019169329074
42,325,10,149,314,0.4745222929936306
43,325,10,117,312,0.375
44,325,10,82,315,0.26031746031746034
45,325,10,92,316,0.2911392405063291
46,325,10,108,312,0.34615384615384615
47,325,10,120,314,0.3821656050955414
48,325,10,131,312,0.4198717948717949
49,325,10,79,315,0.2507936507936508
50,325,10,93,315,0.29523809523809524
51,325,10,99,313,0.31629392971246006
52,325,10,112,311,0.36012861736334406
53,325,10,62,315,0.19682539682539682
54,325,10,119,313,0.3801916932907348
55,325,10,117,312,0.375
56,325,10,108,313,0.3450479233226837
57,325,10,93,316,0.29430379746835444
58,325,10,122,310,0.3935483870967742
59,325,10,111,317,0.3501577287066246
60,325,10,117,315,0.37142857142857144
61,325,10,104,313,0.33226837060702874
62,325,10,144,313,0.46006389776357826
63,325,10,106,315,0.33650793650793653
64,325,10,92,316,0.2911392405063291
65,325,10,89,313,0.28434504792332266
66,325,10,149,313,0.476038338658147
67,325,10,134,313,0.4281150159744409
68,325,10,142,312,0.4551282051282051
69,325,10,117,311,0.3762057877813505
70,325,10,146,315,0.4634920634920635
71,325,10,103,315,0.326984126984127
72,325,10,109,312,0.34935897435897434
73,325,10,95,312,0.30448717948717946
74,325,10,96,314,0.3057324840764331
75,325,10,100,317,0.31545741324921134
76,325,10,109,312,0.34935897435897434
77,325,10,124,316,0.3924050632911392
78,325,10,80,315,0.25396825396825395
79,325,10,101,318,0.31761006289308175
80,325,10,98,315,0.3111111111111111
81,325,10,110,313,0.3514376996805112
82,325,10,40,311,0.12861736334405144
83,325,10,109,316,0.3449367088607595
84,325,10,118,315,0.3746031746031746
85,325,10,115,314,0.3662420382165605
86,325,10,149,317,0.47003154574132494
87,325,10,138,315,0.4380952380952381
88,325,10,120,309,0.3883495145631068
89,325,10,121,318,0.3805031446540881
90,325,10,108,316,0.34177215189873417
91,325,10,127,313,0.4057507987220447
92,325,10,141,312,0.4519230769230769
93,325,10,118,315,0.3746031746031746
94,325,10,100,312,0.32051282051282054
95,325,10,99,315,0.3142857142857143
96,325,10,143,312,0.4583333333333333
97,325,10,108,309,0.34951456310679613
98,325,10,144,312,0.46153846153846156
99,325,10,95,313,0.3035143769968051
