,n,k,n_changes,n_matches,percent_changed
0,250,5,0,224,0.0
1,250,5,14,229,0.0611353711790393
2,250,5,3,227,0.013215859030837005
3,250,5,3,232,0.01293103448275862
4,250,5,21,230,0.09130434782608696
5,250,5,11,222,0.04954954954954955
6,250,5,7,227,0.030837004405286344
7,250,5,10,230,0.043478260869565216
8,250,5,5,229,0.021834061135371178
9,250,5,17,233,0.07296137339055794
10,250,5,32,228,0.14035087719298245
11,250,5,7,231,0.030303030303030304
12,250,5,0,227,0.0
13,250,5,0,224,0.0
14,250,5,0,228,0.0
15,250,5,8,228,0.03508771929824561
16,250,5,6,232,0.02586206896551724
17,250,5,9,230,0.0391304347826087
18,250,5,15,224,0.06696428571428571
19,250,5,3,232,0.01293103448275862
20,250,5,13,231,0.05627705627705628
21,250,5,6,226,0.02654867256637168
22,250,5,10,225,0.044444444444444446
23,250,5,10,228,0.043859649122807015
24,250,5,0,229,0.0
25,250,5,5,225,0.022222222222222223
26,250,5,33,226,0.14601769911504425
27,250,5,0,226,0.0
28,250,5,18,223,0.08071748878923767
29,250,5,0,224,0.0
30,250,5,11,230,0.04782608695652174
31,250,5,13,225,0.057777777777777775
32,250,5,17,232,0.07327586206896551
33,250,5,2,229,0.008733624454148471
34,250,5,3,226,0.01327433628318584
35,250,5,17,225,0.07555555555555556
36,250,5,4,227,0.01762114537444934
37,250,5,18,226,0.07964601769911504
38,250,5,40,226,0.17699115044247787
39,250,5,16,228,0.07017543859649122
40,250,5,10,230,0.043478260869565216
41,250,5,12,233,0.05150214592274678
42,250,5,17,228,0.07456140350877193
43,250,5,6,230,0.02608695652173913
44,250,5,0,228,0.0
45,250,5,0,230,0.0
46,250,5,15,227,0.06607929515418502
47,250,5,32,225,0.14222222222222222
48,250,5,15,229,0.06550218340611354
49,250,5,16,228,0.07017543859649122
50,250,5,7,229,0.03056768558951965
51,250,5,0,225,0.0
52,250,5,25,225,0.1111111111111111
53,250,5,2,226,0.008849557522123894
54,250,5,3,227,0.013215859030837005
55,250,5,7,222,0.03153153153153153
56,250,5,0,229,0.0
57,250,5,8,231,0.03463203463203463
58,250,5,14,223,0.06278026905829596
59,250,5,12,229,0.05240174672489083
60,250,5,9,230,0.0391304347826087
61,250,5,4,232,0.017241379310344827
62,250,5,16,229,0.06986899563318777
63,250,5,3,230,0.013043478260869565
64,250,5,12,220,0.05454545454545454
65,250,5,5,228,0.021929824561403508
66,250,5,7,228,0.03070175438596491
67,250,5,11,229,0.048034934497816595
68,250,5,24,228,0.10526315789473684
69,250,5,14,231,0.06060606060606061
70,250,5,11,231,0.047619047619047616
71,250,5,13,227,0.05726872246696035
72,250,5,18,229,0.07860262008733625
73,250,5,18,231,0.07792207792207792
74,250,5,28,229,0.1222707423580786
75,250,5,0,228,0.0
76,250,5,0,227,0.0
77,250,5,2,227,0.00881057268722467
78,250,5,9,222,0.04054054054054054
79,250,5,0,233,0.0
80,250,5,14,231,0.06060606060606061
81,250,5,24,226,0.10619469026548672
82,250,5,0,232,0.0
83,250,5,14,221,0.06334841628959276
84,250,5,10,228,0.043859649122807015
85,250,5,5,223,0.02242152466367713
86,250,5,0,232,0.0
87,250,5,12,229,0.05240174672489083
88,250,5,2,227,0.00881057268722467
89,250,5,9,230,0.0391304347826087
90,250,5,30,232,0.12931034482758622
91,250,5,10,224,0.044642857142857144
92,250,5,15,231,0.06493506493506493
93,250,5,20,226,0.08849557522123894
94,250,5,8,225,0.035555555555555556
95,250,5,3,234,0.01282051282051282
96,250,5,3,227,0.013215859030837005
97,250,5,5,228,0.021929824561403508
98,250,5,13,229,0.056768558951965066
99,250,5,0,228,0.0
