,n,k,n_changes_eadam,n_matches,n_iterations
0,657,7,118,615,30
1,657,7,180,618,22
2,657,7,132,615,34
3,657,7,228,622,36
4,657,7,172,623,36
5,657,7,130,611,32
6,657,7,108,620,39
7,657,7,128,619,29
8,657,7,154,617,42
9,657,7,100,619,27
10,657,7,198,622,40
11,657,7,126,616,30
12,657,7,190,624,40
13,657,7,120,620,30
14,657,7,176,619,45
15,657,7,140,621,34
16,657,7,146,618,20
17,657,7,134,618,30
18,657,7,142,617,31
19,657,7,136,616,32
20,657,7,184,613,35
21,657,7,176,622,27
22,657,7,116,617,22
23,657,7,134,618,25
24,657,7,158,615,41
25,657,7,34,616,39
26,657,7,86,615,25
27,657,7,104,620,28
28,657,7,130,616,32
29,657,7,138,625,25
30,657,7,160,612,27
31,657,7,122,627,31
32,657,7,64,621,30
33,657,7,130,619,34
34,657,7,144,617,41
35,657,7,108,620,24
36,657,7,192,626,38
37,657,7,114,616,28
38,657,7,160,621,41
39,657,7,140,619,29
40,657,7,114,616,24
41,657,7,184,622,22
42,657,7,138,619,43
43,657,7,76,613,27
44,657,7,204,619,29
45,657,7,128,624,33
46,657,7,102,619,34
47,657,7,110,618,28
48,657,7,114,613,39
49,657,7,78,616,41
50,657,7,150,622,38
51,657,7,110,618,18
52,657,7,172,613,25
53,657,7,108,621,25
54,657,7,110,623,21
55,657,7,92,620,37
56,657,7,184,614,31
57,657,7,118,621,59
58,657,7,148,617,31
59,657,7,94,616,45
60,657,7,156,619,29
61,657,7,160,615,27
62,657,7,46,625,31
63,657,7,152,617,42
64,657,7,132,621,46
65,657,7,124,619,32
66,657,7,204,624,33
67,657,7,68,618,46
68,657,7,206,627,36
69,657,7,124,619,29
70,657,7,254,619,29
71,657,7,212,615,21
72,657,7,174,621,34
73,657,7,160,617,33
74,657,7,136,616,23
75,657,7,92,615,26
76,657,7,142,613,34
77,657,7,80,613,26
78,657,7,140,619,45
79,657,7,98,620,29
80,657,7,62,618,33
81,657,7,98,618,41
82,657,7,158,625,28
83,657,7,136,618,23
84,657,7,90,622,40
85,657,7,136,622,24
86,657,7,166,613,36
87,657,7,84,617,38
88,657,7,94,617,31
89,657,7,82,621,35
90,657,7,44,621,38
91,657,7,150,615,32
92,657,7,166,620,26
93,657,7,116,614,26
94,657,7,158,619,35
95,657,7,112,625,35
96,657,7,146,621,24
97,657,7,158,617,39
98,657,7,198,618,34
99,657,7,130,624,42
