,n,k,n_in_cycles
0,0,3,0
1,0,3,0
2,0,3,0
3,0,3,0
4,0,3,0
5,0,3,0
6,0,3,0
7,0,3,0
8,1,3,2
9,0,3,0
10,0,3,0
11,0,3,0
12,0,3,0
13,0,3,0
14,0,3,0
15,0,3,0
16,0,3,0
17,1,3,3
18,0,3,0
19,0,3,0
20,0,3,0
21,1,3,4
22,0,3,0
23,1,3,2
24,0,3,0
25,0,3,0
26,0,3,0
27,1,3,2
28,0,3,0
29,0,3,0
30,0,3,0
31,0,3,0
32,0,3,0
33,0,3,0
34,0,3,0
35,1,3,3
36,0,3,0
37,0,3,0
38,0,3,0
39,1,3,2
40,1,3,2
41,0,3,0
42,0,3,0
43,1,3,5
44,0,3,0
45,0,3,0
46,0,3,0
47,0,3,0
48,0,3,0
49,0,3,0
50,0,3,0
51,1,3,2
52,3,3,7
53,0,3,0
54,0,3,0
55,1,3,2
56,1,3,3
57,0,3,0
58,0,3,0
59,0,3,0
60,0,3,0
61,0,3,0
62,0,3,0
63,0,3,0
64,1,3,2
65,1,3,2
66,0,3,0
67,1,3,9
68,1,3,6
69,0,3,0
70,0,3,0
71,0,3,0
72,0,3,0
73,1,3,3
74,0,3,0
75,0,3,0
76,0,3,0
77,0,3,0
78,0,3,0
79,0,3,0
80,0,3,0
81,0,3,0
82,0,3,0
83,0,3,0
84,0,3,0
85,0,3,0
86,0,3,0
87,0,3,0
88,0,3,0
89,0,3,0
90,0,3,0
91,0,3,0
92,0,3,0
93,0,3,0
94,0,3,0
95,0,3,0
96,0,3,0
97,0,3,0
98,0,3,0
99,0,3,0
