,n,k,n_in_cycles
0,5,5,2184
1,3,5,2609
2,4,5,2169
3,1,5,2259
4,2,5,2348
5,1,5,3062
6,3,5,2335
7,2,5,2272
8,2,5,2345
9,2,5,2165
10,1,5,2798
11,3,5,2603
12,1,5,1868
13,2,5,2197
14,3,5,2275
15,2,5,3092
16,4,5,2235
17,2,5,2871
18,3,5,2012
19,4,5,2406
20,3,5,2683
21,2,5,2464
22,2,5,2523
23,1,5,3125
24,4,5,2502
25,1,5,1622
26,5,5,1691
27,2,5,2924
28,3,5,2046
29,2,5,3342
30,2,5,3097
31,1,5,2739
32,4,5,2403
33,7,5,2186
34,3,5,2954
35,3,5,2326
36,1,5,2515
37,2,5,2599
38,2,5,2469
39,3,5,2881
40,2,5,2381
41,2,5,2676
42,6,5,1890
43,1,5,2137
44,4,5,2390
45,4,5,1147
46,2,5,2372
47,2,5,3103
48,4,5,2626
49,3,5,2110
50,2,5,2438
51,2,5,2896
52,4,5,2664
53,2,5,3105
54,1,5,2122
55,2,5,1976
56,2,5,2440
57,2,5,2566
58,3,5,2284
59,2,5,2029
60,2,5,2360
61,1,5,2666
62,1,5,2890
63,3,5,2585
64,3,5,2315
65,3,5,1862
66,5,5,2198
67,3,5,3093
68,4,5,2087
69,4,5,2244
70,2,5,2422
71,2,5,2492
72,2,5,2462
73,3,5,2376
74,1,5,2243
75,4,5,2226
76,3,5,2404
77,1,5,1894
78,2,5,3105
79,2,5,2056
80,3,5,2019
81,1,5,2162
82,3,5,1876
83,2,5,2714
84,1,5,2402
85,3,5,3127
86,4,5,2306
87,3,5,1855
88,2,5,2239
89,3,5,2701
90,4,5,2282
91,1,5,2246
92,1,5,2953
93,3,5,2015
94,2,5,2408
95,4,5,2126
96,2,5,2479
97,2,5,2834
98,3,5,2263
99,4,5,2744
