,n,k,n_in_cycles
0,2,5,9
1,2,5,13
2,1,5,6
3,2,5,13
4,2,5,12
5,3,5,8
6,2,5,18
7,2,5,16
8,3,5,16
9,3,5,15
10,2,5,16
11,2,5,22
12,4,5,20
13,1,5,38
14,3,5,22
15,1,5,2
16,2,5,15
17,1,5,3
18,2,5,21
19,1,5,11
20,2,5,22
21,1,5,15
22,3,5,16
23,3,5,25
24,3,5,12
25,2,5,7
26,2,5,28
27,2,5,6
28,1,5,17
29,1,5,5
30,2,5,4
31,1,5,31
32,1,5,12
33,1,5,9
34,3,5,21
35,2,5,7
36,4,5,29
37,1,5,3
38,2,5,41
39,1,5,18
40,3,5,26
41,1,5,19
42,0,5,0
43,2,5,9
44,0,5,0
45,1,5,13
46,1,5,10
47,1,5,35
48,2,5,13
49,1,5,8
50,2,5,4
51,2,5,8
52,2,5,13
53,4,5,13
54,3,5,60
55,3,5,18
56,0,5,0
57,3,5,11
58,1,5,23
59,2,5,17
60,2,5,8
61,2,5,14
62,1,5,4
63,3,5,15
64,1,5,9
65,1,5,3
66,3,5,19
67,2,5,8
68,2,5,6
69,3,5,7
70,0,5,0
71,2,5,8
72,3,5,10
73,2,5,28
74,2,5,12
75,2,5,8
76,1,5,2
77,2,5,62
78,1,5,2
79,2,5,31
80,2,5,5
81,4,5,9
82,0,5,0
83,2,5,28
84,2,5,15
85,1,5,35
86,1,5,3
87,1,5,8
88,0,5,0
89,1,5,4
90,2,5,24
91,2,5,10
92,2,5,30
93,2,5,10
94,3,5,22
95,2,5,30
96,1,5,37
97,2,5,8
98,3,5,10
99,0,5,0
