,n,k,n_changes_eadam,n_matches,n_iterations
0,438,5,64,397,22
1,438,5,26,397,38
2,438,5,12,401,28
3,438,5,52,398,15
4,438,5,14,399,29
5,438,5,0,395,14
6,438,5,62,404,19
7,438,5,0,398,16
8,438,5,14,393,21
9,438,5,24,402,22
10,438,5,30,401,20
11,438,5,30,392,27
12,438,5,26,397,21
13,438,5,4,392,18
14,438,5,44,400,18
15,438,5,52,402,25
16,438,5,4,405,24
17,438,5,40,395,25
18,438,5,14,399,23
19,438,5,0,403,20
20,438,5,8,399,19
21,438,5,8,406,21
22,438,5,48,393,36
23,438,5,0,404,17
24,438,5,24,399,20
25,438,5,20,393,21
26,438,5,50,400,26
27,438,5,34,394,23
28,438,5,40,409,21
29,438,5,8,393,19
30,438,5,8,395,24
31,438,5,16,403,21
32,438,5,14,400,16
33,438,5,0,403,17
34,438,5,42,397,26
35,438,5,30,398,13
36,438,5,14,404,26
37,438,5,22,398,29
38,438,5,50,400,20
39,438,5,44,395,16
40,438,5,28,399,16
41,438,5,48,393,32
42,438,5,4,394,32
43,438,5,50,396,20
44,438,5,4,401,12
45,438,5,4,396,22
46,438,5,4,400,20
47,438,5,16,395,17
48,438,5,22,400,21
49,438,5,22,398,16
50,438,5,14,397,16
51,438,5,16,395,11
52,438,5,0,394,18
53,438,5,34,401,30
54,438,5,18,400,19
55,438,5,0,397,23
56,438,5,56,396,35
57,438,5,20,401,18
58,438,5,0,398,22
59,438,5,54,395,19
60,438,5,38,402,23
61,438,5,60,406,24
62,438,5,10,397,15
63,438,5,0,392,19
64,438,5,12,393,16
65,438,5,20,396,17
66,438,5,0,404,21
67,438,5,18,399,24
68,438,5,10,399,26
69,438,5,10,391,20
70,438,5,36,403,17
71,438,5,4,403,34
72,438,5,16,404,20
73,438,5,82,395,12
74,438,5,24,397,17
75,438,5,36,399,17
76,438,5,16,395,18
77,438,5,44,394,37
78,438,5,30,396,23
79,438,5,16,400,19
80,438,5,4,399,22
81,438,5,36,400,15
82,438,5,20,394,20
83,438,5,0,396,16
84,438,5,64,402,19
85,438,5,40,398,15
86,438,5,10,397,19
87,438,5,28,395,21
88,438,5,54,396,12
89,438,5,24,398,16
90,438,5,58,396,19
91,438,5,22,393,24
92,438,5,38,393,20
93,438,5,46,405,15
94,438,5,10,394,19
95,438,5,34,407,26
96,438,5,74,393,19
97,438,5,6,399,14
98,438,5,22,393,25
99,438,5,14,393,18
