,n,k,n_in_cycles
0,3,6,616
1,2,6,641
2,1,6,597
3,2,6,758
4,3,6,844
5,3,6,617
6,2,6,691
7,1,6,690
8,2,6,630
9,1,6,610
10,2,6,627
11,1,6,677
12,1,6,547
13,1,6,550
14,2,6,478
15,1,6,738
16,1,6,615
17,1,6,723
18,3,6,681
19,1,6,700
20,2,6,516
21,2,6,734
22,1,6,574
23,3,6,676
24,2,6,608
25,1,6,675
26,2,6,505
27,4,6,604
28,1,6,716
29,2,6,466
30,1,6,847
31,2,6,589
32,2,6,747
33,2,6,530
34,1,6,616
35,1,6,606
36,1,6,717
37,1,6,652
38,2,6,562
39,2,6,614
40,1,6,480
41,2,6,693
42,2,6,654
43,5,6,712
44,3,6,645
45,2,6,458
46,4,6,703
47,1,6,746
48,2,6,618
49,3,6,418
50,3,6,768
51,1,6,854
52,2,6,784
53,2,6,754
54,1,6,612
55,3,6,840
56,2,6,645
57,1,6,826
58,2,6,737
59,2,6,619
60,2,6,860
61,1,6,671
62,3,6,548
63,1,6,576
64,2,6,503
65,2,6,638
66,2,6,625
67,3,6,569
68,1,6,658
69,2,6,643
70,2,6,831
71,1,6,552
72,2,6,701
73,1,6,724
74,3,6,639
75,4,6,628
76,2,6,714
77,1,6,691
78,2,6,667
79,1,6,628
80,3,6,565
81,1,6,703
82,1,6,611
83,2,6,804
84,2,6,781
85,2,6,704
86,2,6,562
87,1,6,697
88,1,6,704
89,1,6,630
90,3,6,552
91,1,6,686
92,2,6,787
93,2,6,540
94,2,6,688
95,2,6,648
96,1,6,660
97,1,6,676
98,2,6,655
99,3,6,589
