,n,k,n_in_cycles
0,4,5,127
1,8,5,113
2,4,5,101
3,2,5,196
4,3,5,115
5,6,5,132
6,4,5,56
7,4,5,129
8,3,5,41
9,4,5,197
10,3,5,192
11,1,5,26
12,3,5,142
13,3,5,61
14,2,5,129
15,3,5,134
16,6,5,56
17,3,5,203
18,4,5,68
19,2,5,12
20,4,5,177
21,3,5,132
22,2,5,342
23,1,5,128
24,1,5,180
25,1,5,110
26,1,5,186
27,5,5,67
28,4,5,106
29,2,5,265
30,1,5,282
31,5,5,19
32,2,5,54
33,3,5,201
34,2,5,82
35,2,5,126
36,2,5,162
37,1,5,194
38,2,5,194
39,4,5,150
40,8,5,163
41,4,5,14
42,3,5,74
43,2,5,155
44,1,5,177
45,4,5,266
46,2,5,262
47,4,5,21
48,2,5,267
49,1,5,5
50,4,5,24
51,2,5,41
52,2,5,59
53,4,5,101
54,5,5,32
55,1,5,21
56,3,5,24
57,3,5,153
58,1,5,255
59,3,5,72
60,2,5,171
61,4,5,115
62,3,5,51
63,1,5,198
64,2,5,66
65,3,5,24
66,2,5,311
67,5,5,119
68,4,5,115
69,3,5,109
70,4,5,73
71,4,5,126
72,2,5,131
73,4,5,141
74,2,5,22
75,2,5,205
76,2,5,187
77,7,5,58
78,3,5,276
79,1,5,102
80,4,5,117
81,2,5,62
82,3,5,122
83,1,5,295
84,7,5,178
85,5,5,121
86,4,5,194
87,3,5,171
88,3,5,222
89,2,5,209
90,5,5,75
91,4,5,52
92,4,5,87
93,2,5,279
94,2,5,244
95,1,5,11
96,3,5,52
97,6,5,86
98,2,5,211
99,3,5,74
