,n,k,n_in_cycles
0,0,4,0
1,0,4,0
2,0,4,0
3,2,4,24
4,2,4,6
5,1,4,4
6,3,4,41
7,1,4,2
8,1,4,2
9,1,4,28
10,0,4,0
11,0,4,0
12,3,4,15
13,1,4,3
14,4,4,22
15,0,4,0
16,0,4,0
17,3,4,17
18,2,4,4
19,2,4,15
20,1,4,2
21,2,4,9
22,1,4,8
23,2,4,7
24,2,4,8
25,2,4,11
26,0,4,0
27,1,4,3
28,3,4,40
29,1,4,2
30,0,4,0
31,1,4,4
32,0,4,0
33,0,4,0
34,0,4,0
35,2,4,11
36,0,4,0
37,2,4,5
38,0,4,0
39,1,4,11
40,0,4,0
41,2,4,20
42,0,4,0
43,3,4,16
44,1,4,7
45,1,4,4
46,2,4,7
47,0,4,0
48,2,4,6
49,1,4,3
50,1,4,3
51,0,4,0
52,1,4,2
53,0,4,0
54,4,4,13
55,1,4,5
56,2,4,11
57,0,4,0
58,0,4,0
59,1,4,5
60,1,4,2
61,1,4,2
62,1,4,5
63,1,4,4
64,1,4,7
65,1,4,5
66,2,4,27
67,0,4,0
68,2,4,8
69,0,4,0
70,1,4,2
71,0,4,0
72,1,4,2
73,1,4,2
74,0,4,0
75,0,4,0
76,1,4,3
77,1,4,3
78,1,4,2
79,3,4,9
80,3,4,12
81,0,4,0
82,1,4,6
83,2,4,11
84,0,4,0
85,0,4,0
86,1,4,7
87,2,4,5
88,1,4,3
89,0,4,0
90,0,4,0
91,2,4,13
92,0,4,0
93,0,4,0
94,0,4,0
95,1,4,2
96,1,4,4
97,1,4,3
98,1,4,5
99,1,4,3
