,n,k,n_changes_eadam,n_matches,n_iterations
0,130,8,22,124,15
1,130,8,50,123,11
2,130,8,58,123,12
3,130,8,40,124,20
4,130,8,28,124,17
5,130,8,48,123,20
6,130,8,28,126,21
7,130,8,78,124,18
8,130,8,72,127,15
9,130,8,28,121,18
10,130,8,32,125,19
11,130,8,38,124,15
12,130,8,0,125,12
13,130,8,12,123,14
14,130,8,16,125,23
15,130,8,54,123,19
16,130,8,22,123,17
17,130,8,56,126,16
18,130,8,28,123,10
19,130,8,16,124,18
20,130,8,66,123,10
21,130,8,44,124,12
22,130,8,22,122,14
23,130,8,38,124,12
24,130,8,40,128,17
25,130,8,56,125,18
26,130,8,28,125,20
27,130,8,68,123,12
28,130,8,52,123,16
29,130,8,80,125,14
30,130,8,70,125,14
31,130,8,56,125,18
32,130,8,30,124,13
33,130,8,22,125,19
34,130,8,32,126,9
35,130,8,50,126,15
36,130,8,24,125,20
37,130,8,52,122,17
38,130,8,56,122,12
39,130,8,52,125,12
40,130,8,40,123,16
41,130,8,50,125,11
42,130,8,16,124,16
43,130,8,26,125,15
44,130,8,64,124,19
45,130,8,42,126,24
46,130,8,56,126,13
47,130,8,48,124,11
48,130,8,50,121,20
49,130,8,38,125,14
50,130,8,46,123,11
51,130,8,20,123,17
52,130,8,10,122,19
53,130,8,48,122,10
54,130,8,46,125,15
55,130,8,0,124,19
56,130,8,60,126,22
57,130,8,8,122,15
58,130,8,46,121,16
59,130,8,30,120,10
60,130,8,58,124,11
61,130,8,36,124,20
62,130,8,34,124,16
63,130,8,56,126,11
64,130,8,42,124,18
65,130,8,62,126,21
66,130,8,60,122,17
67,130,8,18,124,14
68,130,8,6,123,20
69,130,8,58,125,12
70,130,8,36,124,13
71,130,8,46,124,10
72,130,8,38,123,18
73,130,8,48,124,14
74,130,8,26,123,11
75,130,8,26,123,17
76,130,8,46,123,17
77,130,8,36,124,9
78,130,8,46,125,17
79,130,8,46,125,15
80,130,8,62,123,17
81,130,8,22,122,21
82,130,8,50,121,16
83,130,8,78,125,21
84,130,8,48,126,14
85,130,8,34,126,16
86,130,8,56,127,13
87,130,8,40,122,16
88,130,8,38,125,20
89,130,8,66,127,19
90,130,8,106,123,15
91,130,8,44,121,14
92,130,8,24,123,9
93,130,8,42,122,17
94,130,8,48,123,14
95,130,8,80,126,14
96,130,8,52,124,15
97,130,8,38,125,18
98,130,8,24,125,17
99,130,8,76,122,13
