,n,k,n_changes_eadam,n_matches,n_iterations
0,2217,8,580,2101,86
1,2217,8,608,2109,45
2,2217,8,672,2096,50
3,2217,8,624,2110,62
4,2217,8,634,2107,72
5,2217,8,660,2107,67
6,2217,8,546,2116,55
7,2217,8,514,2110,81
8,2217,8,546,2114,55
9,2217,8,628,2116,69
10,2217,8,522,2108,77
11,2217,8,592,2115,55
12,2217,8,568,2099,70
13,2217,8,590,2098,59
14,2217,8,624,2110,49
15,2217,8,516,2094,70
16,2217,8,596,2113,66
17,2217,8,668,2110,73
18,2217,8,618,2108,65
19,2217,8,602,2103,82
20,2217,8,672,2109,64
21,2217,8,612,2108,56
22,2217,8,630,2104,66
23,2217,8,586,2119,60
24,2217,8,718,2115,51
25,2217,8,686,2107,59
26,2217,8,766,2113,60
27,2217,8,706,2119,65
28,2217,8,706,2106,59
29,2217,8,648,2098,58
30,2217,8,620,2120,64
31,2217,8,530,2110,50
32,2217,8,692,2104,75
33,2217,8,494,2112,66
34,2217,8,662,2112,79
35,2217,8,492,2108,60
36,2217,8,556,2112,55
37,2217,8,590,2109,63
38,2217,8,676,2118,88
39,2217,8,576,2107,82
40,2217,8,716,2110,53
41,2217,8,456,2106,62
42,2217,8,520,2101,66
43,2217,8,728,2116,67
44,2217,8,542,2119,68
45,2217,8,562,2119,72
46,2217,8,708,2108,63
47,2217,8,440,2111,95
48,2217,8,782,2111,63
49,2217,8,572,2100,98
50,2217,8,486,2100,87
51,2217,8,490,2111,83
52,2217,8,676,2105,66
53,2217,8,662,2108,61
54,2217,8,630,2104,69
55,2217,8,708,2110,64
56,2217,8,592,2117,64
57,2217,8,646,2100,78
58,2217,8,468,2117,73
59,2217,8,614,2111,63
60,2217,8,670,2116,53
61,2217,8,528,2089,75
62,2217,8,582,2112,61
63,2217,8,634,2113,76
64,2217,8,618,2117,62
65,2217,8,582,2118,63
66,2217,8,614,2104,50
67,2217,8,596,2102,67
68,2217,8,682,2111,50
69,2217,8,756,2109,76
70,2217,8,686,2115,68
71,2217,8,784,2109,60
72,2217,8,628,2116,58
73,2217,8,622,2113,71
74,2217,8,602,2117,62
75,2217,8,564,2093,78
76,2217,8,444,2124,72
77,2217,8,690,2111,53
78,2217,8,604,2121,66
79,2217,8,522,2112,51
80,2217,8,512,2115,58
81,2217,8,500,2109,47
82,2217,8,552,2123,59
83,2217,8,570,2105,56
84,2217,8,592,2094,60
85,2217,8,688,2110,39
86,2217,8,598,2112,67
87,2217,8,602,2108,60
88,2217,8,664,2109,62
89,2217,8,580,2107,71
90,2217,8,582,2116,59
91,2217,8,640,2103,70
92,2217,8,636,2108,69
93,2217,8,618,2102,70
94,2217,8,648,2103,63
95,2217,8,630,2120,40
96,2217,8,682,2110,68
97,2217,8,692,2111,73
98,2217,8,732,2115,63
99,2217,8,594,2110,63
