,n,k,n_in_cycles
0,4,5,293
1,2,5,198
2,3,5,268
3,2,5,119
4,6,5,38
5,2,5,513
6,5,5,232
7,4,5,245
8,2,5,333
9,5,5,115
10,1,5,490
11,4,5,470
12,1,5,226
13,1,5,365
14,2,5,346
15,4,5,394
16,4,5,571
17,3,5,374
18,2,5,281
19,6,5,440
20,4,5,305
21,3,5,227
22,2,5,349
23,1,5,441
24,7,5,241
25,1,5,366
26,2,5,155
27,3,5,402
28,2,5,196
29,5,5,418
30,3,5,226
31,2,5,563
32,2,5,400
33,3,5,328
34,5,5,181
35,1,5,257
36,7,5,149
37,1,5,630
38,5,5,459
39,4,5,360
40,3,5,392
41,3,5,547
42,3,5,386
43,2,5,230
44,4,5,444
45,5,5,378
46,6,5,108
47,1,5,309
48,3,5,111
49,4,5,274
50,5,5,283
51,3,5,251
52,2,5,403
53,2,5,457
54,3,5,162
55,4,5,178
56,4,5,209
57,3,5,303
58,5,5,168
59,1,5,248
60,2,5,399
61,6,5,373
62,3,5,309
63,4,5,36
64,3,5,356
65,6,5,259
66,3,5,185
67,1,5,265
68,2,5,197
69,2,5,423
70,2,5,338
71,5,5,92
72,1,5,261
73,1,5,150
74,3,5,364
75,2,5,385
76,4,5,43
77,3,5,307
78,2,5,462
79,1,5,360
80,1,5,328
81,1,5,264
82,3,5,450
83,3,5,378
84,3,5,426
85,2,5,470
86,2,5,242
87,2,5,276
88,4,5,149
89,2,5,407
90,6,5,125
91,6,5,116
92,3,5,540
93,3,5,440
94,7,5,56
95,1,5,558
96,4,5,411
97,2,5,301
98,2,5,506
99,2,5,496
