,n,k,n_in_cycles
0,3,6,133
1,2,6,104
2,2,6,170
3,2,6,148
4,3,6,112
5,1,6,244
6,1,6,141
7,4,6,137
8,2,6,93
9,4,6,138
10,3,6,79
11,3,6,171
12,2,6,150
13,2,6,163
14,1,6,114
15,1,6,101
16,3,6,103
17,1,6,204
18,2,6,180
19,5,6,75
20,1,6,215
21,1,6,142
22,3,6,179
23,2,6,164
24,4,6,80
25,2,6,128
26,1,6,141
27,4,6,62
28,2,6,150
29,4,6,63
30,3,6,69
31,1,6,174
32,2,6,92
33,4,6,72
34,3,6,59
35,1,6,161
36,1,6,188
37,2,6,129
38,1,6,154
39,1,6,232
40,2,6,185
41,1,6,180
42,1,6,152
43,1,6,112
44,5,6,85
45,3,6,51
46,1,6,105
47,1,6,128
48,2,6,171
49,2,6,14
50,1,6,167
51,1,6,143
52,3,6,98
53,2,6,112
54,2,6,109
55,1,6,139
56,1,6,166
57,1,6,158
58,1,6,202
59,3,6,110
60,2,6,112
61,3,6,29
62,2,6,143
63,2,6,106
64,1,6,87
65,3,6,37
66,2,6,21
67,2,6,86
68,1,6,194
69,4,6,153
70,2,6,94
71,3,6,146
72,2,6,110
73,1,6,57
74,3,6,81
75,1,6,160
76,1,6,182
77,3,6,77
78,2,6,109
79,2,6,131
80,1,6,210
81,2,6,203
82,2,6,91
83,2,6,180
84,3,6,116
85,3,6,71
86,1,6,185
87,4,6,195
88,3,6,158
89,1,6,181
90,3,6,106
91,5,6,45
92,2,6,118
93,2,6,87
94,1,6,174
95,1,6,62
96,1,6,114
97,1,6,164
98,1,6,142
99,3,6,46
