,n,k,n_in_cycles
0,1,6,25
1,2,6,15
2,2,6,24
3,3,6,6
4,1,6,13
5,2,6,5
6,1,6,37
7,1,6,7
8,1,6,38
9,2,6,5
10,2,6,16
11,1,6,14
12,4,6,12
13,3,6,18
14,2,6,8
15,2,6,6
16,2,6,9
17,1,6,33
18,1,6,8
19,1,6,6
20,1,6,6
21,3,6,10
22,2,6,4
23,0,6,0
24,1,6,3
25,2,6,10
26,1,6,15
27,1,6,26
28,2,6,30
29,2,6,11
30,2,6,20
31,1,6,15
32,2,6,18
33,1,6,8
34,1,6,36
35,1,6,50
36,4,6,17
37,1,6,13
38,0,6,0
39,2,6,41
40,1,6,46
41,3,6,23
42,2,6,20
43,1,6,31
44,1,6,51
45,2,6,12
46,1,6,2
47,0,6,0
48,1,6,5
49,2,6,11
50,3,6,42
51,1,6,21
52,2,6,13
53,2,6,18
54,2,6,27
55,1,6,32
56,1,6,29
57,2,6,16
58,1,6,4
59,3,6,12
60,1,6,4
61,1,6,8
62,4,6,17
63,2,6,28
64,1,6,18
65,3,6,14
66,1,6,26
67,2,6,15
68,1,6,3
69,1,6,40
70,1,6,3
71,1,6,2
72,1,6,43
73,2,6,11
74,1,6,12
75,3,6,27
76,2,6,13
77,2,6,6
78,1,6,15
79,2,6,17
80,2,6,12
81,1,6,34
82,3,6,15
83,1,6,16
84,1,6,11
85,2,6,20
86,2,6,21
87,2,6,22
88,1,6,4
89,1,6,24
90,2,6,18
91,1,6,20
92,0,6,0
93,1,6,34
94,2,6,17
95,2,6,5
96,3,6,22
97,1,6,21
98,1,6,2
99,4,6,20
