,n,k,n_in_cycles
0,2,7,116
1,1,7,87
2,1,7,92
3,1,7,143
4,1,7,75
5,1,7,78
6,1,7,112
7,1,7,84
8,2,7,112
9,2,7,22
10,1,7,82
11,2,7,90
12,2,7,67
13,1,7,97
14,3,7,48
15,1,7,137
16,1,7,60
17,1,7,30
18,1,7,79
19,1,7,43
20,2,7,119
21,1,7,73
22,1,7,96
23,3,7,94
24,1,7,112
25,1,7,112
26,1,7,88
27,2,7,42
28,1,7,137
29,2,7,91
30,3,7,101
31,1,7,78
32,1,7,84
33,2,7,68
34,2,7,72
35,1,7,140
36,1,7,178
37,1,7,106
38,1,7,124
39,5,7,109
40,2,7,118
41,2,7,54
42,1,7,63
43,1,7,74
44,1,7,54
45,3,7,48
46,2,7,88
47,1,7,155
48,2,7,109
49,2,7,90
50,1,7,111
51,3,7,128
52,2,7,107
53,4,7,76
54,1,7,67
55,1,7,112
56,2,7,115
57,1,7,81
58,4,7,58
59,1,7,84
60,2,7,99
61,2,7,100
62,1,7,144
63,1,7,92
64,2,7,142
65,2,7,55
66,3,7,62
67,1,7,88
68,1,7,100
69,1,7,90
70,1,7,117
71,1,7,124
72,1,7,106
73,1,7,126
74,1,7,80
75,1,7,142
76,1,7,91
77,1,7,86
78,2,7,62
79,1,7,29
80,1,7,102
81,2,7,93
82,1,7,95
83,2,7,114
84,1,7,85
85,2,7,78
86,1,7,136
87,1,7,98
88,2,7,37
89,2,7,91
90,2,7,93
91,2,7,102
92,2,7,126
93,1,7,145
94,2,7,108
95,1,7,67
96,1,7,103
97,3,7,68
98,1,7,135
99,2,7,149
