,n,k,n_in_cycles
0,2,8,16
1,1,8,84
2,2,8,65
3,2,8,52
4,2,8,41
5,1,8,86
6,1,8,80
7,2,8,46
8,1,8,89
9,1,8,47
10,1,8,53
11,2,8,66
12,3,8,44
13,1,8,74
14,1,8,41
15,1,8,50
16,3,8,56
17,3,8,24
18,3,8,19
19,1,8,52
20,2,8,79
21,1,8,83
22,1,8,23
23,1,8,50
24,1,8,37
25,2,8,62
26,2,8,69
27,1,8,50
28,1,8,84
29,2,8,33
30,1,8,46
31,1,8,76
32,1,8,75
33,1,8,69
34,2,8,81
35,1,8,71
36,2,8,16
37,2,8,21
38,1,8,74
39,1,8,68
40,1,8,64
41,1,8,73
42,2,8,55
43,1,8,65
44,2,8,18
45,1,8,74
46,1,8,57
47,1,8,81
48,2,8,91
49,1,8,85
50,1,8,81
51,2,8,42
52,1,8,54
53,1,8,76
54,1,8,84
55,1,8,91
56,2,8,53
57,1,8,60
58,1,8,51
59,2,8,62
60,1,8,93
61,1,8,70
62,1,8,52
63,1,8,66
64,3,8,51
65,1,8,72
66,2,8,34
67,1,8,60
68,1,8,62
69,2,8,41
70,2,8,46
71,1,8,96
72,2,8,58
73,1,8,74
74,2,8,36
75,2,8,86
76,2,8,49
77,1,8,45
78,1,8,56
79,2,8,50
80,2,8,85
81,1,8,68
82,1,8,82
83,1,8,69
84,1,8,66
85,3,8,55
86,2,8,72
87,3,8,49
88,2,8,64
89,3,8,43
90,1,8,70
91,1,8,84
92,1,8,93
93,1,8,96
94,1,8,61
95,2,8,97
96,3,8,32
97,2,8,56
98,2,8,67
99,1,8,76
