,n,k,n_in_cycles
0,3,5,1577
1,4,5,2040
2,4,5,2106
3,1,5,1596
4,2,5,2055
5,3,5,1437
6,4,5,2561
7,4,5,1634
8,3,5,1483
9,1,5,2241
10,1,5,1586
11,6,5,1816
12,3,5,1645
13,4,5,1633
14,1,5,1922
15,4,5,1716
16,5,5,1813
17,2,5,1845
18,2,5,1681
19,3,5,1146
20,3,5,1847
21,2,5,1487
22,2,5,1332
23,3,5,2179
24,3,5,1224
25,3,5,1656
26,3,5,1274
27,5,5,2065
28,5,5,2004
29,3,5,1551
30,3,5,1568
31,1,5,2082
32,2,5,1556
33,1,5,1522
34,1,5,1609
35,1,5,971
36,1,5,1782
37,3,5,1519
38,4,5,1247
39,5,5,1568
40,3,5,2035
41,2,5,1127
42,3,5,1768
43,4,5,1523
44,3,5,1834
45,3,5,1552
46,3,5,1537
47,2,5,1852
48,2,5,2105
49,4,5,1730
50,3,5,1696
51,1,5,2029
52,3,5,1355
53,1,5,1663
54,4,5,1495
55,3,5,959
56,4,5,2069
57,2,5,1913
58,2,5,1702
59,2,5,1328
60,6,5,1438
61,3,5,1716
62,5,5,1159
63,5,5,1751
64,5,5,1620
65,1,5,1455
66,2,5,1280
67,2,5,1896
68,3,5,1329
69,1,5,1754
70,1,5,1606
71,2,5,1608
72,5,5,1599
73,7,5,1618
74,4,5,2158
75,1,5,2437
76,2,5,1328
77,2,5,1043
78,2,5,1342
79,4,5,1414
80,3,5,1604
81,1,5,2103
82,2,5,2059
83,2,5,1437
84,2,5,1748
85,1,5,1344
86,2,5,1713
87,3,5,2078
88,5,5,2132
89,4,5,1873
90,5,5,1192
91,6,5,1724
92,3,5,1855
93,5,5,1645
94,5,5,1812
95,3,5,1360
96,1,5,1487
97,3,5,1439
98,3,5,907
99,5,5,1272
