,n,k,n_changes_eadam,n_matches,n_iterations
0,130,3,0,109,7
1,130,3,0,111,11
2,130,3,0,109,9
3,130,3,0,106,9
4,130,3,0,107,8
5,130,3,0,112,6
6,130,3,4,104,6
7,130,3,0,113,8
8,130,3,4,110,6
9,130,3,0,113,7
10,130,3,0,108,9
11,130,3,0,113,5
12,130,3,0,107,6
13,130,3,12,112,9
14,130,3,6,111,7
15,130,3,0,112,6
16,130,3,0,110,8
17,130,3,0,108,9
18,130,3,0,111,9
19,130,3,6,111,11
20,130,3,0,111,7
21,130,3,0,110,8
22,130,3,0,111,6
23,130,3,4,113,6
24,130,3,0,108,5
25,130,3,0,116,6
26,130,3,0,106,6
27,130,3,6,107,6
28,130,3,0,114,8
29,130,3,0,115,8
30,130,3,0,110,7
31,130,3,4,105,10
32,130,3,6,109,8
33,130,3,0,108,6
34,130,3,0,109,7
35,130,3,0,108,8
36,130,3,0,112,8
37,130,3,0,116,8
38,130,3,0,110,8
39,130,3,0,111,11
40,130,3,0,109,10
41,130,3,6,107,7
42,130,3,4,107,9
43,130,3,0,113,8
44,130,3,0,111,7
45,130,3,0,106,8
46,130,3,0,106,7
47,130,3,0,108,7
48,130,3,0,104,12
49,130,3,0,108,11
50,130,3,6,107,9
51,130,3,4,110,7
52,130,3,0,113,6
53,130,3,4,100,11
54,130,3,0,111,6
55,130,3,0,108,6
56,130,3,0,108,5
57,130,3,0,107,10
58,130,3,20,110,5
59,130,3,4,109,6
60,130,3,4,109,8
61,130,3,0,108,7
62,130,3,0,109,7
63,130,3,0,108,6
64,130,3,6,107,6
65,130,3,6,110,9
66,130,3,0,109,6
67,130,3,0,105,8
68,130,3,0,109,6
69,130,3,0,110,9
70,130,3,0,108,7
71,130,3,0,109,7
72,130,3,0,113,8
73,130,3,0,107,5
74,130,3,0,110,9
75,130,3,0,109,8
76,130,3,0,105,8
77,130,3,0,112,7
78,130,3,0,112,10
79,130,3,0,111,6
80,130,3,26,107,8
81,130,3,0,112,7
82,130,3,0,110,11
83,130,3,0,111,5
84,130,3,0,108,7
85,130,3,0,113,6
86,130,3,4,110,5
87,130,3,0,109,7
88,130,3,14,111,5
89,130,3,0,109,8
90,130,3,0,114,7
91,130,3,0,110,8
92,130,3,0,107,7
93,130,3,12,111,7
94,130,3,0,110,6
95,130,3,0,111,6
96,130,3,4,112,8
97,130,3,4,108,8
98,130,3,0,114,7
99,130,3,0,112,8
