,n,k,n_changes_eadam,n_matches,n_iterations
0,7482,5,140,6771,99
1,7482,5,182,6787,56
2,7482,5,342,6781,57
3,7482,5,40,6773,100
4,7482,5,138,6790,99
5,7482,5,164,6791,64
6,7482,5,204,6807,75
7,7482,5,238,6797,85
8,7482,5,114,6798,76
9,7482,5,130,6815,95
10,7482,5,76,6794,76
11,7482,5,282,6799,71
12,7482,5,196,6791,78
13,7482,5,268,6791,54
14,7482,5,196,6795,67
15,7482,5,172,6811,102
16,7482,5,382,6788,63
17,7482,5,200,6823,79
18,7482,5,136,6820,92
19,7482,5,252,6813,85
20,7482,5,124,6783,50
21,7482,5,194,6801,78
22,7482,5,112,6788,41
23,7482,5,252,6817,76
24,7482,5,156,6826,59
25,7482,5,218,6786,81
26,7482,5,234,6800,48
27,7482,5,204,6797,74
28,7482,5,202,6773,90
29,7482,5,282,6820,50
30,7482,5,224,6786,77
31,7482,5,172,6776,84
32,7482,5,188,6789,74
33,7482,5,246,6804,80
34,7482,5,136,6816,46
35,7482,5,300,6797,60
36,7482,5,294,6811,61
37,7482,5,122,6810,61
38,7482,5,46,6784,60
39,7482,5,210,6808,78
40,7482,5,360,6788,63
41,7482,5,176,6792,64
42,7482,5,172,6811,64
43,7482,5,324,6819,80
44,7482,5,104,6803,58
45,7482,5,76,6816,69
46,7482,5,280,6814,63
47,7482,5,206,6796,46
48,7482,5,178,6816,97
49,7482,5,92,6816,71
50,7482,5,202,6792,109
51,7482,5,270,6795,77
52,7482,5,184,6791,75
53,7482,5,130,6799,61
54,7482,5,210,6768,109
55,7482,5,62,6786,76
56,7482,5,144,6806,104
57,7482,5,288,6821,103
58,7482,5,100,6814,67
59,7482,5,164,6808,44
60,7482,5,134,6783,55
61,7482,5,180,6776,82
62,7482,5,358,6805,91
63,7482,5,94,6781,81
64,7482,5,160,6804,76
65,7482,5,186,6784,69
66,7482,5,104,6791,70
67,7482,5,142,6787,85
68,7482,5,196,6803,57
69,7482,5,230,6812,69
70,7482,5,76,6806,77
71,7482,5,172,6801,68
72,7482,5,316,6784,99
73,7482,5,236,6797,54
74,7482,5,504,6817,62
75,7482,5,222,6819,83
76,7482,5,108,6808,112
77,7482,5,200,6801,74
78,7482,5,246,6802,49
79,7482,5,164,6787,95
80,7482,5,98,6791,79
81,7482,5,194,6770,75
82,7482,5,220,6797,109
83,7482,5,212,6768,87
84,7482,5,172,6807,60
85,7482,5,418,6778,80
86,7482,5,288,6815,64
87,7482,5,166,6805,62
88,7482,5,118,6803,49
89,7482,5,262,6803,61
90,7482,5,160,6801,60
91,7482,5,214,6817,83
92,7482,5,194,6801,81
93,7482,5,54,6803,91
94,7482,5,276,6802,89
95,7482,5,128,6805,74
96,7482,5,114,6780,70
97,7482,5,126,6810,87
98,7482,5,198,6796,79
99,7482,5,212,6787,56
