,n,k,n_in_cycles
0,1,6,41
1,1,6,2
2,2,6,23
3,4,6,16
4,2,6,4
5,3,6,34
6,1,6,28
7,1,6,62
8,2,6,40
9,2,6,26
10,1,6,8
11,1,6,50
12,2,6,29
13,3,6,22
14,2,6,11
15,1,6,38
16,2,6,37
17,1,6,11
18,2,6,41
19,1,6,40
20,0,6,0
21,2,6,7
22,1,6,25
23,1,6,30
24,1,6,45
25,2,6,58
26,2,6,7
27,1,6,15
28,2,6,13
29,2,6,5
30,2,6,12
31,2,6,17
32,1,6,47
33,1,6,64
34,1,6,3
35,2,6,43
36,2,6,32
37,2,6,38
38,2,6,15
39,2,6,22
40,2,6,28
41,2,6,12
42,1,6,39
43,4,6,24
44,2,6,49
45,0,6,0
46,1,6,16
47,1,6,2
48,1,6,36
49,1,6,60
50,1,6,46
51,1,6,6
52,2,6,16
53,2,6,7
54,1,6,10
55,0,6,0
56,2,6,7
57,2,6,34
58,1,6,48
59,1,6,46
60,1,6,3
61,2,6,15
62,3,6,14
63,1,6,33
64,3,6,24
65,1,6,53
66,1,6,77
67,1,6,3
68,2,6,5
69,1,6,6
70,4,6,33
71,1,6,37
72,2,6,6
73,3,6,29
74,1,6,33
75,1,6,21
76,2,6,21
77,2,6,39
78,2,6,18
79,2,6,21
80,4,6,29
81,2,6,24
82,1,6,2
83,2,6,42
84,4,6,16
85,2,6,35
86,1,6,37
87,2,6,9
88,1,6,34
89,1,6,39
90,1,6,57
91,3,6,41
92,1,6,19
93,2,6,32
94,2,6,32
95,1,6,35
96,2,6,39
97,0,6,0
98,3,6,27
99,2,6,46
