,n,k,n_changes,n_matches
0,195,3,0,162
1,195,3,0,165
2,195,3,0,163
3,195,3,0,160
4,195,3,0,162
5,195,3,0,160
6,195,3,0,168
7,195,3,0,161
8,195,3,3,167
9,195,3,0,158
10,195,3,0,151
11,195,3,4,164
12,195,3,0,162
13,195,3,0,164
14,195,3,0,159
15,195,3,0,162
16,195,3,0,167
17,195,3,6,162
18,195,3,4,163
19,195,3,0,163
20,195,3,0,169
21,195,3,2,166
22,195,3,0,164
23,195,3,0,162
24,195,3,0,159
25,195,3,0,166
26,195,3,0,163
27,195,3,0,163
28,195,3,0,166
29,195,3,6,155
30,195,3,2,165
31,195,3,0,160
32,195,3,0,167
33,195,3,0,169
34,195,3,0,164
35,195,3,0,166
36,195,3,0,164
37,195,3,0,166
38,195,3,2,163
39,195,3,0,166
40,195,3,2,169
41,195,3,0,169
42,195,3,0,162
43,195,3,0,162
44,195,3,0,162
45,195,3,4,165
46,195,3,0,167
47,195,3,4,158
48,195,3,0,166
49,195,3,0,163
50,195,3,0,163
51,195,3,0,166
52,195,3,0,168
53,195,3,0,170
54,195,3,0,168
55,195,3,0,167
56,195,3,0,167
57,195,3,0,166
58,195,3,0,172
59,195,3,0,167
60,195,3,0,166
61,195,3,0,157
62,195,3,4,162
63,195,3,2,162
64,195,3,0,166
65,195,3,2,162
66,195,3,0,164
67,195,3,0,154
68,195,3,0,156
69,195,3,2,154
70,195,3,0,159
71,195,3,0,165
72,195,3,0,164
73,195,3,0,164
74,195,3,0,162
75,195,3,5,164
76,195,3,0,161
77,195,3,0,165
78,195,3,0,169
79,195,3,0,166
80,195,3,3,164
81,195,3,4,160
82,195,3,0,166
83,195,3,0,165
84,195,3,0,165
85,195,3,0,163
86,195,3,0,160
87,195,3,0,165
88,195,3,0,167
89,195,3,5,166
90,195,3,0,162
91,195,3,0,160
92,195,3,5,161
93,195,3,0,166
94,195,3,0,172
95,195,3,0,164
96,195,3,0,169
97,195,3,7,160
98,195,3,0,165
99,195,3,0,166
