,n,k,n_changes_eadam,n_matches,n_iterations
0,130,5,22,119,17
1,130,5,0,115,8
2,130,5,42,119,12
3,130,5,18,119,11
4,130,5,0,119,19
5,130,5,0,119,16
6,130,5,18,123,14
7,130,5,36,117,11
8,130,5,18,115,10
9,130,5,0,121,9
10,130,5,20,115,21
11,130,5,28,115,9
12,130,5,0,117,9
13,130,5,6,121,13
14,130,5,20,116,15
15,130,5,12,118,17
16,130,5,6,122,13
17,130,5,32,120,7
18,130,5,22,121,10
19,130,5,0,122,20
20,130,5,14,118,12
21,130,5,8,121,17
22,130,5,38,118,14
23,130,5,0,119,12
24,130,5,12,116,13
25,130,5,16,120,10
26,130,5,20,117,13
27,130,5,16,117,11
28,130,5,12,121,9
29,130,5,4,119,13
30,130,5,22,118,11
31,130,5,30,117,21
32,130,5,16,122,14
33,130,5,20,120,9
34,130,5,6,120,13
35,130,5,12,120,7
36,130,5,0,119,9
37,130,5,18,121,12
38,130,5,10,121,12
39,130,5,8,120,10
40,130,5,16,118,9
41,130,5,24,120,15
42,130,5,0,121,16
43,130,5,28,118,8
44,130,5,8,117,13
45,130,5,20,117,13
46,130,5,8,118,16
47,130,5,18,119,14
48,130,5,32,120,15
49,130,5,20,119,8
50,130,5,24,119,10
51,130,5,8,119,16
52,130,5,22,117,15
53,130,5,28,121,8
54,130,5,28,118,12
55,130,5,22,116,10
56,130,5,14,116,7
57,130,5,12,119,8
58,130,5,0,122,11
59,130,5,28,121,11
60,130,5,8,120,9
61,130,5,16,114,18
62,130,5,20,121,11
63,130,5,30,117,14
64,130,5,20,117,10
65,130,5,8,118,7
66,130,5,14,120,8
67,130,5,0,122,20
68,130,5,0,118,14
69,130,5,8,121,16
70,130,5,24,115,11
71,130,5,14,119,14
72,130,5,36,123,11
73,130,5,0,121,10
74,130,5,18,121,13
75,130,5,10,120,15
76,130,5,44,120,11
77,130,5,24,117,10
78,130,5,36,119,13
79,130,5,6,121,8
80,130,5,6,115,14
81,130,5,16,122,11
82,130,5,4,120,12
83,130,5,4,116,16
84,130,5,10,119,14
85,130,5,12,119,20
86,130,5,22,121,13
87,130,5,22,118,7
88,130,5,10,118,7
89,130,5,0,116,11
90,130,5,14,121,19
91,130,5,10,118,14
92,130,5,6,116,13
93,130,5,14,118,8
94,130,5,0,120,12
95,130,5,6,117,13
96,130,5,0,119,16
97,130,5,8,119,8
98,130,5,20,118,7
99,130,5,14,119,13
