,n,k,n_in_cycles
0,0,3,0
1,0,3,0
2,0,3,0
3,0,3,0
4,0,3,0
5,0,3,0
6,1,3,2
7,0,3,0
8,1,3,2
9,0,3,0
10,0,3,0
11,0,3,0
12,0,3,0
13,1,3,6
14,1,3,3
15,0,3,0
16,0,3,0
17,0,3,0
18,0,3,0
19,1,3,3
20,0,3,0
21,0,3,0
22,0,3,0
23,1,3,2
24,0,3,0
25,0,3,0
26,0,3,0
27,1,3,3
28,0,3,0
29,0,3,0
30,0,3,0
31,1,3,2
32,1,3,3
33,0,3,0
34,0,3,0
35,0,3,0
36,0,3,0
37,0,3,0
38,0,3,0
39,0,3,0
40,0,3,0
41,1,3,3
42,1,3,2
43,0,3,0
44,0,3,0
45,0,3,0
46,0,3,0
47,0,3,0
48,0,3,0
49,0,3,0
50,1,3,3
51,1,3,2
52,0,3,0
53,1,3,2
54,0,3,0
55,0,3,0
56,0,3,0
57,0,3,0
58,1,3,10
59,1,3,2
60,1,3,2
61,0,3,0
62,0,3,0
63,0,3,0
64,1,3,3
65,1,3,3
66,0,3,0
67,0,3,0
68,0,3,0
69,0,3,0
70,0,3,0
71,0,3,0
72,0,3,0
73,0,3,0
74,0,3,0
75,0,3,0
76,0,3,0
77,0,3,0
78,0,3,0
79,0,3,0
80,2,3,13
81,0,3,0
82,0,3,0
83,0,3,0
84,0,3,0
85,0,3,0
86,1,3,2
87,0,3,0
88,2,3,7
89,0,3,0
90,0,3,0
91,0,3,0
92,0,3,0
93,1,3,6
94,0,3,0
95,0,3,0
96,1,3,2
97,1,3,2
98,0,3,0
99,0,3,0
