,n,k,n_in_cycles
0,0,3,0
1,0,3,0
2,0,3,0
3,0,3,0
4,0,3,0
5,0,3,0
6,0,3,0
7,1,3,4
8,0,3,0
9,0,3,0
10,0,3,0
11,0,3,0
12,0,3,0
13,0,3,0
14,0,3,0
15,0,3,0
16,1,3,3
17,0,3,0
18,1,3,3
19,0,3,0
20,1,3,2
21,0,3,0
22,0,3,0
23,1,3,3
24,1,3,3
25,0,3,0
26,0,3,0
27,0,3,0
28,1,3,2
29,0,3,0
30,0,3,0
31,0,3,0
32,0,3,0
33,0,3,0
34,0,3,0
35,0,3,0
36,1,3,3
37,1,3,2
38,0,3,0
39,0,3,0
40,0,3,0
41,1,3,3
42,0,3,0
43,0,3,0
44,0,3,0
45,0,3,0
46,0,3,0
47,0,3,0
48,0,3,0
49,1,3,2
50,2,3,5
51,1,3,3
52,0,3,0
53,1,3,4
54,0,3,0
55,0,3,0
56,1,3,2
57,0,3,0
58,0,3,0
59,0,3,0
60,0,3,0
61,0,3,0
62,1,3,4
63,1,3,2
64,0,3,0
65,1,3,2
66,0,3,0
67,0,3,0
68,0,3,0
69,0,3,0
70,0,3,0
71,0,3,0
72,0,3,0
73,0,3,0
74,0,3,0
75,0,3,0
76,1,3,3
77,2,3,5
78,0,3,0
79,2,3,4
80,0,3,0
81,0,3,0
82,0,3,0
83,1,3,2
84,2,3,4
85,0,3,0
86,0,3,0
87,0,3,0
88,0,3,0
89,0,3,0
90,0,3,0
91,0,3,0
92,0,3,0
93,0,3,0
94,0,3,0
95,0,3,0
96,1,3,2
97,0,3,0
98,0,3,0
99,0,3,0
