,n,k,n_in_cycles
0,5,5,1325
1,3,5,1734
2,4,5,982
3,2,5,1284
4,2,5,1088
5,2,5,1566
6,5,5,1170
7,3,5,1057
8,3,5,1236
9,2,5,726
10,4,5,1049
11,1,5,742
12,2,5,1229
13,3,5,1078
14,3,5,722
15,1,5,623
16,2,5,1304
17,5,5,930
18,2,5,1298
19,3,5,475
20,2,5,1073
21,4,5,1212
22,5,5,772
23,4,5,1201
24,1,5,1507
25,2,5,1178
26,2,5,1258
27,3,5,1201
28,5,5,1017
29,2,5,1261
30,5,5,1021
31,3,5,988
32,6,5,1247
33,4,5,659
34,3,5,1118
35,6,5,1146
36,5,5,1160
37,3,5,852
38,2,5,683
39,4,5,1060
40,4,5,1184
41,1,5,1215
42,3,5,1012
43,5,5,772
44,1,5,1088
45,7,5,674
46,1,5,1092
47,2,5,1548
48,5,5,744
49,2,5,1052
50,4,5,867
51,2,5,908
52,3,5,1122
53,3,5,878
54,2,5,1095
55,2,5,1001
56,2,5,1171
57,3,5,1206
58,3,5,1245
59,3,5,1335
60,2,5,1176
61,4,5,1060
62,7,5,735
63,4,5,949
64,1,5,958
65,2,5,554
66,5,5,683
67,2,5,1024
68,7,5,1257
69,3,5,985
70,3,5,745
71,4,5,859
72,5,5,1002
73,2,5,878
74,4,5,1282
75,3,5,1106
76,1,5,999
77,4,5,1018
78,6,5,772
79,3,5,1588
80,4,5,1611
81,2,5,1766
82,2,5,1544
83,3,5,1000
84,3,5,1203
85,2,5,760
86,4,5,396
87,2,5,904
88,3,5,881
89,4,5,888
90,3,5,1137
91,4,5,959
92,2,5,805
93,3,5,873
94,3,5,1256
95,2,5,1035
96,3,5,1490
97,3,5,1197
98,3,5,1002
99,2,5,1406
