,n,k,n_in_cycles
0,2,7,50
1,1,7,42
2,1,7,38
3,1,7,60
4,2,7,57
5,1,7,37
6,1,7,30
7,2,7,24
8,3,7,22
9,1,7,37
10,1,7,11
11,2,7,74
12,1,7,49
13,1,7,29
14,1,7,45
15,2,7,62
16,1,7,33
17,2,7,13
18,3,7,41
19,1,7,38
20,1,7,47
21,1,7,52
22,1,7,28
23,3,7,38
24,1,7,31
25,2,7,23
26,1,7,36
27,1,7,34
28,1,7,63
29,1,7,64
30,1,7,54
31,4,7,33
32,1,7,64
33,5,7,16
34,1,7,50
35,1,7,24
36,2,7,39
37,1,7,36
38,2,7,34
39,3,7,23
40,2,7,33
41,3,7,11
42,2,7,4
43,3,7,25
44,1,7,56
45,3,7,16
46,2,7,53
47,2,7,31
48,2,7,23
49,1,7,38
50,1,7,54
51,1,7,61
52,1,7,4
53,2,7,62
54,2,7,43
55,1,7,63
56,1,7,39
57,1,7,55
58,2,7,68
59,2,7,48
60,2,7,49
61,4,7,18
62,2,7,17
63,2,7,21
64,1,7,34
65,2,7,36
66,2,7,48
67,1,7,35
68,2,7,5
69,2,7,55
70,2,7,18
71,1,7,61
72,1,7,53
73,2,7,8
74,1,7,14
75,3,7,24
76,1,7,69
77,1,7,44
78,3,7,40
79,1,7,35
80,1,7,43
81,1,7,38
82,0,7,0
83,2,7,61
84,2,7,30
85,2,7,38
86,2,7,38
87,2,7,52
88,1,7,52
89,1,7,45
90,1,7,55
91,1,7,67
92,4,7,20
93,2,7,20
94,2,7,19
95,1,7,54
96,2,7,36
97,2,7,43
98,1,7,47
99,2,7,65
