,n,k,n_in_cycles
0,1,3,2
1,1,3,2
2,0,3,0
3,0,3,0
4,0,3,0
5,1,3,3
6,1,3,2
7,0,3,0
8,1,3,2
9,1,3,3
10,0,3,0
11,0,3,0
12,2,3,6
13,0,3,0
14,0,3,0
15,0,3,0
16,1,3,2
17,1,3,7
18,0,3,0
19,0,3,0
20,0,3,0
21,0,3,0
22,0,3,0
23,0,3,0
24,0,3,0
25,0,3,0
26,0,3,0
27,0,3,0
28,0,3,0
29,0,3,0
30,0,3,0
31,0,3,0
32,0,3,0
33,0,3,0
34,0,3,0
35,0,3,0
36,1,3,3
37,0,3,0
38,0,3,0
39,1,3,2
40,0,3,0
41,0,3,0
42,0,3,0
43,0,3,0
44,0,3,0
45,0,3,0
46,1,3,3
47,0,3,0
48,0,3,0
49,0,3,0
50,0,3,0
51,1,3,3
52,1,3,6
53,0,3,0
54,0,3,0
55,0,3,0
56,0,3,0
57,1,3,3
58,0,3,0
59,0,3,0
60,0,3,0
61,1,3,2
62,1,3,2
63,0,3,0
64,0,3,0
65,1,3,2
66,1,3,2
67,1,3,2
68,1,3,4
69,0,3,0
70,0,3,0
71,0,3,0
72,1,3,2
73,0,3,0
74,0,3,0
75,0,3,0
76,0,3,0
77,0,3,0
78,2,3,4
79,0,3,0
80,1,3,7
81,1,3,7
82,0,3,0
83,0,3,0
84,0,3,0
85,2,3,4
86,0,3,0
87,0,3,0
88,0,3,0
89,0,3,0
90,0,3,0
91,0,3,0
92,0,3,0
93,0,3,0
94,1,3,4
95,0,3,0
96,1,3,2
97,0,3,0
98,0,3,0
99,0,3,0
