,n,k,n_in_cycles
0,2,8,133
1,1,8,166
2,2,8,150
3,1,8,123
4,1,8,102
5,1,8,128
6,1,8,150
7,3,8,95
8,2,8,116
9,3,8,93
10,1,8,158
11,2,8,172
12,1,8,132
13,2,8,137
14,2,8,91
15,4,8,70
16,1,8,161
17,1,8,126
18,2,8,128
19,1,8,133
20,3,8,130
21,2,8,78
22,1,8,176
23,1,8,129
24,1,8,158
25,1,8,157
26,1,8,147
27,1,8,104
28,2,8,141
29,1,8,135
30,1,8,136
31,2,8,107
32,1,8,145
33,2,8,178
34,3,8,111
35,4,8,125
36,1,8,103
37,1,8,90
38,1,8,150
39,1,8,175
40,1,8,167
41,1,8,131
42,1,8,135
43,3,8,122
44,1,8,150
45,1,8,183
46,1,8,127
47,1,8,198
48,1,8,96
49,1,8,148
50,1,8,132
51,1,8,95
52,1,8,165
53,1,8,118
54,1,8,114
55,2,8,133
56,3,8,97
57,1,8,143
58,1,8,132
59,1,8,83
60,1,8,146
61,1,8,93
62,2,8,192
63,1,8,94
64,1,8,151
65,1,8,80
66,1,8,68
67,2,8,98
68,1,8,181
69,2,8,95
70,2,8,121
71,2,8,113
72,1,8,119
73,1,8,101
74,1,8,111
75,1,8,130
76,1,8,142
77,1,8,141
78,2,8,160
79,1,8,119
80,1,8,132
81,1,8,150
82,2,8,134
83,1,8,113
84,1,8,164
85,1,8,160
86,1,8,139
87,1,8,141
88,1,8,184
89,1,8,159
90,1,8,109
91,2,8,133
92,2,8,136
93,2,8,126
94,2,8,145
95,1,8,150
96,3,8,111
97,1,8,138
98,1,8,139
99,1,8,82
