,n,k,n_changes,n_matches
0,438,4,3,387
1,438,4,0,390
2,438,4,0,385
3,438,4,8,386
4,438,4,0,386
5,438,4,0,375
6,438,4,10,390
7,438,4,5,388
8,438,4,7,395
9,438,4,6,393
10,438,4,14,387
11,438,4,4,385
12,438,4,2,389
13,438,4,0,389
14,438,4,4,388
15,438,4,7,389
16,438,4,8,388
17,438,4,3,381
18,438,4,3,382
19,438,4,6,385
20,438,4,0,386
21,438,4,0,385
22,438,4,0,390
23,438,4,0,383
24,438,4,0,391
25,438,4,0,387
26,438,4,4,383
27,438,4,0,387
28,438,4,15,388
29,438,4,0,388
30,438,4,2,396
31,438,4,7,390
32,438,4,0,386
33,438,4,0,384
34,438,4,5,388
35,438,4,15,391
36,438,4,0,385
37,438,4,2,394
38,438,4,24,392
39,438,4,0,390
40,438,4,2,387
41,438,4,0,387
42,438,4,4,385
43,438,4,6,383
44,438,4,9,390
45,438,4,2,387
46,438,4,7,387
47,438,4,0,382
48,438,4,11,382
49,438,4,0,384
50,438,4,0,386
51,438,4,7,394
52,438,4,7,383
53,438,4,2,390
54,438,4,2,394
55,438,4,2,380
56,438,4,2,393
57,438,4,0,384
58,438,4,2,388
59,438,4,6,386
60,438,4,4,387
61,438,4,4,383
62,438,4,0,379
63,438,4,3,386
64,438,4,0,385
65,438,4,2,376
66,438,4,8,387
67,438,4,0,381
68,438,4,11,381
69,438,4,2,389
70,438,4,0,385
71,438,4,7,385
72,438,4,3,383
73,438,4,0,389
74,438,4,7,397
75,438,4,0,389
76,438,4,4,375
77,438,4,0,387
78,438,4,0,385
79,438,4,9,385
80,438,4,8,388
81,438,4,7,393
82,438,4,2,386
83,438,4,0,381
84,438,4,0,385
85,438,4,0,392
86,438,4,0,393
87,438,4,0,392
88,438,4,0,383
89,438,4,0,389
90,438,4,0,384
91,438,4,12,395
92,438,4,5,390
93,438,4,3,389
94,438,4,7,394
95,438,4,5,385
96,438,4,0,391
97,438,4,0,387
98,438,4,0,384
99,438,4,12,393
