,n,k,n_in_cycles
0,2,6,84
1,1,6,78
2,1,6,73
3,2,6,12
4,1,6,47
5,2,6,66
6,0,6,0
7,3,6,14
8,1,6,52
9,2,6,52
10,2,6,60
11,2,6,67
12,3,6,57
13,1,6,25
14,1,6,77
15,1,6,105
16,1,6,85
17,1,6,69
18,1,6,61
19,3,6,71
20,3,6,72
21,2,6,39
22,3,6,46
23,3,6,36
24,2,6,42
25,3,6,37
26,1,6,3
27,3,6,20
28,5,6,17
29,2,6,67
30,1,6,79
31,1,6,81
32,1,6,109
33,3,6,15
34,1,6,93
35,1,6,42
36,1,6,76
37,3,6,99
38,4,6,52
39,2,6,25
40,1,6,60
41,2,6,91
42,2,6,46
43,3,6,83
44,1,6,37
45,1,6,63
46,2,6,38
47,0,6,0
48,1,6,89
49,1,6,64
50,3,6,79
51,2,6,53
52,1,6,37
53,2,6,76
54,1,6,92
55,2,6,77
56,1,6,110
57,1,6,83
58,2,6,76
59,3,6,114
60,2,6,19
61,2,6,48
62,3,6,36
63,2,6,64
64,2,6,52
65,1,6,20
66,1,6,68
67,2,6,65
68,1,6,59
69,2,6,94
70,1,6,44
71,2,6,29
72,2,6,81
73,2,6,57
74,2,6,15
75,1,6,115
76,3,6,43
77,2,6,65
78,1,6,44
79,2,6,92
80,1,6,50
81,1,6,5
82,3,6,67
83,2,6,39
84,2,6,41
85,1,6,33
86,3,6,75
87,1,6,80
88,3,6,32
89,1,6,2
90,2,6,80
91,3,6,43
92,1,6,66
93,2,6,48
94,4,6,44
95,2,6,51
96,1,6,63
97,2,6,66
98,1,6,85
99,2,6,42
