,n,k,n_in_cycles
0,1,5,27
1,2,5,47
2,1,5,113
3,2,5,79
4,2,5,9
5,3,5,23
6,3,5,162
7,3,5,13
8,2,5,18
9,3,5,195
10,4,5,70
11,3,5,47
12,3,5,65
13,3,5,83
14,2,5,88
15,2,5,6
16,1,5,73
17,6,5,29
18,2,5,61
19,2,5,55
20,2,5,64
21,1,5,2
22,1,5,80
23,4,5,37
24,2,5,184
25,4,5,23
26,1,5,89
27,1,5,9
28,3,5,149
29,3,5,72
30,5,5,79
31,2,5,42
32,1,5,43
33,0,5,0
34,4,5,54
35,1,5,7
36,2,5,81
37,5,5,38
38,2,5,83
39,4,5,32
40,2,5,39
41,2,5,105
42,3,5,38
43,1,5,157
44,2,5,6
45,3,5,113
46,1,5,39
47,3,5,134
48,6,5,62
49,1,5,110
50,4,5,48
51,3,5,55
52,5,5,56
53,2,5,25
54,2,5,4
55,2,5,62
56,3,5,144
57,1,5,149
58,4,5,42
59,1,5,2
60,5,5,21
61,3,5,94
62,3,5,68
63,2,5,91
64,3,5,81
65,3,5,46
66,2,5,146
67,4,5,49
68,3,5,44
69,2,5,51
70,4,5,73
71,4,5,73
72,4,5,115
73,4,5,85
74,3,5,109
75,3,5,125
76,2,5,171
77,1,5,110
78,1,5,29
79,3,5,58
80,4,5,39
81,2,5,6
82,3,5,42
83,2,5,145
84,4,5,51
85,2,5,16
86,1,5,104
87,3,5,72
88,3,5,83
89,3,5,135
90,1,5,164
91,2,5,173
92,1,5,6
93,4,5,140
94,5,5,120
95,1,5,23
96,2,5,35
97,3,5,78
98,3,5,47
99,3,5,20
