,n,k,n_in_cycles
0,1,8,1720
1,1,8,1658
2,1,8,1739
3,2,8,1464
4,3,8,1709
5,1,8,1522
6,1,8,1574
7,1,8,1515
8,1,8,1423
9,3,8,1550
10,2,8,1424
11,2,8,1438
12,2,8,1595
13,2,8,1621
14,1,8,1659
15,1,8,1424
16,4,8,1602
17,1,8,1452
18,1,8,1404
19,1,8,1559
20,1,8,1436
21,2,8,1562
22,1,8,1564
23,1,8,1569
24,1,8,1684
25,1,8,1474
26,1,8,1759
27,2,8,1310
28,1,8,1583
29,1,8,1678
30,1,8,1601
31,1,8,1433
32,3,8,1503
33,1,8,1605
34,2,8,1540
35,1,8,1587
36,3,8,1554
37,1,8,1528
38,2,8,1362
39,4,8,1632
40,1,8,1572
41,1,8,1511
42,1,8,1575
43,1,8,1465
44,1,8,1566
45,2,8,1559
46,2,8,1507
47,1,8,1695
48,2,8,1443
49,2,8,1554
50,1,8,1611
51,2,8,1644
52,1,8,1513
53,2,8,1400
54,2,8,1575
55,1,8,1587
56,1,8,1515
57,1,8,1516
58,2,8,1666
59,2,8,1730
60,1,8,1570
61,1,8,1642
62,2,8,1498
63,3,8,1474
64,1,8,1506
65,1,8,1542
66,1,8,1340
67,1,8,1508
68,1,8,1555
69,2,8,1454
70,2,8,1395
71,2,8,1545
72,1,8,1549
73,1,8,1740
74,2,8,1448
75,1,8,1485
76,2,8,1473
77,1,8,1568
78,1,8,1570
79,1,8,1587
80,2,8,1574
81,1,8,1585
82,2,8,1571
83,1,8,1635
84,1,8,1493
85,1,8,1591
86,1,8,1611
87,1,8,1707
88,1,8,1569
89,1,8,1574
90,1,8,1632
91,1,8,1502
92,1,8,1680
93,2,8,1455
94,1,8,1708
95,1,8,1700
96,2,8,1637
97,1,8,1517
98,1,8,1612
99,1,8,1694
