,n,k,n_in_cycles
0,1,7,499
1,1,7,551
2,1,7,496
3,1,7,505
4,1,7,530
5,1,7,498
6,2,7,526
7,1,7,566
8,1,7,545
9,1,7,547
10,4,7,528
11,2,7,461
12,2,7,450
13,2,7,487
14,2,7,469
15,2,7,488
16,2,7,447
17,1,7,590
18,1,7,545
19,1,7,526
20,1,7,561
21,2,7,531
22,2,7,660
23,2,7,493
24,1,7,528
25,2,7,496
26,1,7,453
27,2,7,424
28,1,7,620
29,1,7,597
30,1,7,391
31,1,7,518
32,3,7,395
33,1,7,538
34,1,7,488
35,1,7,494
36,1,7,613
37,1,7,442
38,2,7,452
39,1,7,422
40,1,7,437
41,1,7,387
42,1,7,570
43,1,7,555
44,1,7,475
45,2,7,429
46,1,7,483
47,1,7,427
48,2,7,577
49,1,7,478
50,1,7,569
51,2,7,610
52,2,7,571
53,3,7,372
54,1,7,494
55,1,7,409
56,2,7,592
57,1,7,434
58,3,7,609
59,1,7,442
60,2,7,550
61,3,7,587
62,1,7,502
63,1,7,440
64,1,7,510
65,1,7,445
66,1,7,626
67,1,7,526
68,2,7,530
69,2,7,494
70,3,7,568
71,1,7,568
72,2,7,487
73,1,7,507
74,1,7,586
75,1,7,502
76,1,7,475
77,1,7,553
78,2,7,330
79,1,7,420
80,1,7,615
81,1,7,422
82,1,7,586
83,1,7,535
84,1,7,571
85,2,7,491
86,1,7,496
87,2,7,525
88,1,7,561
89,1,7,471
90,1,7,573
91,1,7,508
92,1,7,564
93,1,7,428
94,1,7,548
95,1,7,430
96,1,7,540
97,2,7,422
98,1,7,500
99,1,7,461
