,n,k,n_in_cycles
0,0,4,0
1,0,4,0
2,0,4,0
3,0,4,0
4,0,4,0
5,1,4,2
6,1,4,5
7,0,4,0
8,1,4,3
9,1,4,2
10,0,4,0
11,2,4,6
12,0,4,0
13,1,4,3
14,2,4,7
15,1,4,13
16,1,4,4
17,1,4,2
18,0,4,0
19,1,4,4
20,0,4,0
21,0,4,0
22,1,4,6
23,1,4,2
24,1,4,4
25,0,4,0
26,0,4,0
27,1,4,2
28,0,4,0
29,1,4,6
30,1,4,2
31,2,4,12
32,0,4,0
33,3,4,9
34,0,4,0
35,0,4,0
36,1,4,12
37,0,4,0
38,0,4,0
39,1,4,2
40,0,4,0
41,0,4,0
42,1,4,2
43,0,4,0
44,1,4,7
45,1,4,6
46,1,4,2
47,0,4,0
48,1,4,2
49,0,4,0
50,0,4,0
51,1,4,9
52,0,4,0
53,0,4,0
54,0,4,0
55,1,4,2
56,0,4,0
57,0,4,0
58,0,4,0
59,0,4,0
60,2,4,5
61,0,4,0
62,1,4,2
63,1,4,2
64,3,4,11
65,0,4,0
66,1,4,3
67,1,4,3
68,1,4,2
69,1,4,5
70,0,4,0
71,1,4,6
72,0,4,0
73,2,4,19
74,0,4,0
75,0,4,0
76,2,4,5
77,0,4,0
78,2,4,12
79,1,4,2
80,1,4,3
81,0,4,0
82,0,4,0
83,0,4,0
84,1,4,15
85,2,4,12
86,0,4,0
87,0,4,0
88,1,4,3
89,1,4,3
90,1,4,16
91,0,4,0
92,0,4,0
93,0,4,0
94,1,4,15
95,0,4,0
96,0,4,0
97,1,4,13
98,0,4,0
99,0,4,0
