,n,k,n_changes_eadam,n_matches,n_iterations
0,292,7,72,272,31
1,292,7,30,275,20
2,292,7,32,275,28
3,292,7,44,277,34
4,292,7,48,273,22
5,292,7,48,273,22
6,292,7,40,271,22
7,292,7,84,277,20
8,292,7,86,275,26
9,292,7,68,275,33
10,292,7,66,276,16
11,292,7,46,278,28
12,292,7,88,279,21
13,292,7,56,272,24
14,292,7,84,274,21
15,292,7,68,275,29
16,292,7,78,280,19
17,292,7,64,277,14
18,292,7,26,273,16
19,292,7,120,273,20
20,292,7,46,274,23
21,292,7,72,276,24
22,292,7,38,271,34
23,292,7,38,274,13
24,292,7,26,276,23
25,292,7,44,276,18
26,292,7,112,271,25
27,292,7,100,279,20
28,292,7,24,274,27
29,292,7,142,275,22
30,292,7,128,275,25
31,292,7,64,276,41
32,292,7,84,281,22
33,292,7,66,277,34
34,292,7,86,278,27
35,292,7,114,274,21
36,292,7,90,274,20
37,292,7,42,276,23
38,292,7,40,272,20
39,292,7,88,279,26
40,292,7,66,276,21
41,292,7,64,279,20
42,292,7,48,278,25
43,292,7,74,277,25
44,292,7,70,279,21
45,292,7,70,274,29
46,292,7,62,276,29
47,292,7,68,276,29
48,292,7,76,278,31
49,292,7,80,272,23
50,292,7,38,273,25
51,292,7,94,275,15
52,292,7,46,275,29
53,292,7,66,274,26
54,292,7,48,270,25
55,292,7,60,278,22
56,292,7,18,277,27
57,292,7,68,275,11
58,292,7,82,273,19
59,292,7,56,273,21
60,292,7,58,272,19
61,292,7,74,274,23
62,292,7,60,276,14
63,292,7,72,279,24
64,292,7,114,276,21
65,292,7,52,273,25
66,292,7,44,272,31
67,292,7,78,276,19
68,292,7,90,275,12
69,292,7,62,275,30
70,292,7,56,274,32
71,292,7,52,271,22
72,292,7,98,276,27
73,292,7,144,274,20
74,292,7,78,277,18
75,292,7,42,273,26
76,292,7,50,276,21
77,292,7,88,277,21
78,292,7,62,276,24
79,292,7,52,278,20
80,292,7,76,280,23
81,292,7,86,271,17
82,292,7,84,275,25
83,292,7,54,272,21
84,292,7,52,276,15
85,292,7,112,273,15
86,292,7,48,273,16
87,292,7,74,274,14
88,292,7,68,274,26
89,292,7,94,277,21
90,292,7,60,275,21
91,292,7,62,279,21
92,292,7,50,275,20
93,292,7,46,276,20
94,292,7,30,270,22
95,292,7,92,273,18
96,292,7,60,277,26
97,292,7,66,279,25
98,292,7,36,276,22
99,292,7,56,271,17
