,n,k,n_in_cycles
0,1,7,146
1,4,7,158
2,2,7,156
3,1,7,242
4,1,7,179
5,2,7,144
6,1,7,146
7,2,7,141
8,1,7,187
9,3,7,108
10,2,7,182
11,3,7,121
12,1,7,209
13,1,7,148
14,3,7,174
15,2,7,169
16,1,7,141
17,1,7,128
18,2,7,141
19,1,7,142
20,1,7,170
21,1,7,186
22,1,7,113
23,2,7,155
24,2,7,177
25,3,7,46
26,2,7,101
27,2,7,131
28,2,7,144
29,2,7,135
30,1,7,155
31,1,7,152
32,1,7,61
33,1,7,152
34,1,7,186
35,3,7,95
36,1,7,208
37,4,7,151
38,1,7,204
39,3,7,137
40,1,7,113
41,2,7,172
42,1,7,173
43,5,7,66
44,1,7,224
45,1,7,116
46,1,7,104
47,1,7,112
48,1,7,134
49,1,7,98
50,1,7,172
51,1,7,75
52,1,7,141
53,1,7,121
54,3,7,94
55,2,7,101
56,2,7,173
57,2,7,155
58,3,7,104
59,3,7,133
60,2,7,159
61,1,7,179
62,1,7,66
63,1,7,163
64,3,7,169
65,2,7,110
66,1,7,224
67,1,7,103
68,2,7,229
69,1,7,153
70,1,7,231
71,2,7,162
72,1,7,161
73,1,7,157
74,1,7,157
75,5,7,72
76,1,7,132
77,3,7,96
78,1,7,178
79,3,7,88
80,1,7,71
81,1,7,164
82,2,7,170
83,2,7,126
84,1,7,128
85,3,7,134
86,2,7,194
87,2,7,109
88,1,7,169
89,3,7,93
90,1,7,58
91,1,7,147
92,1,7,202
93,1,7,119
94,1,7,161
95,1,7,162
96,1,7,136
97,1,7,151
98,1,7,191
99,1,7,151
