,n,k,n_in_cycles
0,5,5,377
1,2,5,560
2,2,5,340
3,4,5,447
4,5,5,225
5,3,5,545
6,6,5,405
7,4,5,872
8,1,5,451
9,3,5,511
10,1,5,490
11,4,5,414
12,4,5,732
13,4,5,445
14,1,5,351
15,3,5,37
16,2,5,334
17,1,5,593
18,5,5,472
19,4,5,775
20,3,5,420
21,3,5,569
22,2,5,305
23,3,5,874
24,2,5,572
25,2,5,445
26,1,5,488
27,2,5,366
28,4,5,603
29,2,5,538
30,3,5,421
31,2,5,291
32,1,5,564
33,2,5,369
34,3,5,741
35,3,5,143
36,1,5,480
37,4,5,428
38,3,5,454
39,3,5,272
40,3,5,637
41,4,5,275
42,4,5,754
43,4,5,350
44,4,5,296
45,3,5,601
46,2,5,615
47,1,5,731
48,3,5,617
49,1,5,502
50,1,5,676
51,5,5,731
52,4,5,379
53,2,5,421
54,1,5,449
55,2,5,242
56,4,5,608
57,2,5,808
58,4,5,432
59,2,5,425
60,3,5,381
61,2,5,691
62,4,5,466
63,2,5,714
64,2,5,381
65,2,5,754
66,2,5,430
67,2,5,593
68,3,5,434
69,3,5,459
70,4,5,270
71,3,5,492
72,1,5,388
73,4,5,267
74,2,5,347
75,4,5,571
76,3,5,530
77,3,5,661
78,1,5,637
79,5,5,451
80,1,5,710
81,4,5,663
82,3,5,461
83,4,5,496
84,4,5,173
85,2,5,735
86,3,5,573
87,1,5,496
88,2,5,491
89,1,5,845
90,3,5,404
91,3,5,474
92,2,5,581
93,3,5,607
94,2,5,613
95,2,5,431
96,2,5,289
97,2,5,215
98,1,5,455
99,4,5,244
