,n,k,n_in_cycles
0,1,8,3391
1,3,8,3479
2,1,8,3543
3,1,8,3524
4,2,8,3563
5,2,8,3584
6,1,8,3659
7,1,8,3277
8,2,8,3743
9,2,8,3616
10,2,8,3403
11,1,8,3537
12,1,8,3579
13,1,8,3380
14,2,8,3605
15,1,8,3553
16,1,8,3424
17,1,8,3450
18,1,8,3693
19,1,8,3514
20,1,8,3404
21,1,8,3272
22,1,8,3490
23,1,8,3432
24,2,8,3529
25,2,8,3604
26,1,8,3553
27,2,8,3523
28,1,8,3535
29,2,8,3573
30,1,8,3459
31,1,8,3384
32,1,8,3528
33,1,8,3734
34,1,8,3579
35,1,8,3254
36,1,8,3449
37,1,8,3353
38,2,8,3392
39,2,8,3366
40,1,8,3472
41,1,8,3548
42,1,8,3354
43,2,8,3347
44,1,8,3679
45,1,8,3582
46,1,8,3355
47,4,8,3673
48,1,8,3625
49,1,8,3214
50,1,8,3820
51,1,8,3225
52,2,8,3592
53,2,8,3603
54,1,8,3583
55,2,8,3754
56,1,8,3557
57,1,8,3191
58,1,8,3613
59,2,8,3508
60,1,8,3728
61,2,8,3584
62,2,8,3310
63,1,8,3581
64,2,8,3767
65,1,8,3316
66,2,8,3512
67,2,8,3498
68,1,8,3462
69,1,8,3441
70,1,8,3572
71,1,8,3781
72,2,8,3411
73,1,8,3666
74,2,8,3717
75,2,8,3396
76,4,8,3386
77,1,8,3579
78,1,8,3345
79,2,8,3498
80,1,8,3292
81,1,8,3561
82,1,8,3657
83,2,8,3344
84,3,8,3463
85,1,8,3683
86,1,8,3572
87,1,8,3274
88,1,8,3757
89,1,8,3586
90,1,8,3483
91,2,8,3371
92,1,8,3451
93,2,8,3535
94,1,8,3423
95,2,8,3411
96,1,8,3724
97,1,8,3459
98,1,8,3497
99,1,8,3366
