,n,k,n_in_cycles
0,2,7,29
1,1,7,13
2,1,7,10
3,1,7,5
4,2,7,47
5,4,7,37
6,1,7,53
7,1,7,49
8,1,7,41
9,2,7,21
10,3,7,25
11,4,7,34
12,3,7,22
13,2,7,12
14,2,7,38
15,2,7,12
16,1,7,10
17,2,7,47
18,2,7,37
19,2,7,13
20,2,7,30
21,1,7,42
22,2,7,24
23,1,7,18
24,3,7,14
25,1,7,45
26,1,7,25
27,1,7,19
28,1,7,22
29,3,7,24
30,1,7,40
31,1,7,29
32,1,7,32
33,3,7,14
34,1,7,56
35,3,7,40
36,1,7,32
37,1,7,40
38,2,7,7
39,3,7,12
40,1,7,40
41,1,7,38
42,2,7,13
43,2,7,10
44,3,7,13
45,3,7,29
46,2,7,33
47,2,7,4
48,1,7,5
49,1,7,30
50,1,7,53
51,1,7,2
52,3,7,13
53,1,7,6
54,2,7,31
55,1,7,30
56,3,7,9
57,1,7,36
58,1,7,19
59,1,7,59
60,2,7,39
61,2,7,32
62,2,7,11
63,4,7,13
64,2,7,36
65,2,7,37
66,1,7,12
67,2,7,31
68,1,7,7
69,1,7,14
70,1,7,33
71,1,7,26
72,4,7,26
73,2,7,16
74,1,7,3
75,1,7,44
76,3,7,8
77,1,7,45
78,2,7,24
79,1,7,46
80,2,7,5
81,1,7,32
82,2,7,24
83,0,7,0
84,1,7,31
85,1,7,22
86,1,7,45
87,2,7,22
88,1,7,46
89,1,7,12
90,1,7,42
91,3,7,37
92,2,7,35
93,2,7,48
94,1,7,2
95,2,7,37
96,1,7,33
97,1,7,27
98,3,7,30
99,2,7,8
