,n,k,n_in_cycles
0,3,6,975
1,2,6,1014
2,1,6,972
3,1,6,1049
4,1,6,965
5,2,6,929
6,2,6,892
7,1,6,964
8,2,6,1273
9,1,6,978
10,3,6,1156
11,3,6,1015
12,2,6,1071
13,2,6,1088
14,5,6,916
15,1,6,762
16,1,6,1015
17,1,6,1322
18,1,6,1047
19,2,6,651
20,1,6,833
21,2,6,797
22,1,6,1088
23,2,6,944
24,2,6,1088
25,5,6,958
26,1,6,1006
27,5,6,991
28,1,6,848
29,2,6,1133
30,2,6,899
31,1,6,974
32,1,6,873
33,2,6,1170
34,2,6,793
35,2,6,835
36,2,6,1243
37,3,6,932
38,2,6,867
39,2,6,1090
40,1,6,1105
41,1,6,981
42,2,6,973
43,4,6,852
44,2,6,1202
45,2,6,981
46,2,6,965
47,1,6,1007
48,1,6,1095
49,2,6,1220
50,2,6,999
51,4,6,1078
52,3,6,908
53,1,6,977
54,2,6,1065
55,1,6,984
56,3,6,917
57,2,6,633
58,3,6,996
59,1,6,931
60,2,6,991
61,2,6,888
62,2,6,1024
63,2,6,984
64,4,6,877
65,1,6,964
66,6,6,801
67,3,6,1027
68,1,6,1124
69,1,6,955
70,1,6,937
71,2,6,1090
72,2,6,1053
73,2,6,1123
74,1,6,984
75,3,6,813
76,1,6,715
77,2,6,739
78,2,6,865
79,2,6,929
80,4,6,1107
81,1,6,936
82,1,6,1157
83,2,6,1131
84,3,6,1012
85,2,6,811
86,2,6,825
87,3,6,788
88,2,6,1082
89,3,6,974
90,1,6,1222
91,2,6,1057
92,2,6,919
93,3,6,942
94,1,6,1233
95,2,6,852
96,3,6,990
97,1,6,945
98,2,6,1065
99,2,6,975
