,n,k,cycle_lengths,as_percent_of_matches
0,4988,5,22,0.004834102395078005
1,4988,5,39,0.008569545154911009
2,4988,5,15,0.0032959789057350032
3,4988,5,3,0.0006591957811470006
4,4988,5,2,0.00043946385409800046
5,4988,5,10,0.002213858755811379
6,4988,5,3,0.0006641576267434137
7,4988,5,13,0.002878016382554793
8,4988,5,31,0.006862962143015275
9,4988,5,5,0.0011069293779056896
10,4988,5,18,0.003984945760460483
11,4988,5,8,0.0017710870046491033
12,4988,5,3,0.0006641576267434137
13,4988,5,2,0.00044277175116227583
14,4988,5,16,0.0035312293092032666
15,4988,5,40,0.008828073273008165
16,4988,5,2,0.0004414036636504083
17,4988,5,4,0.0008828073273008167
18,4988,5,2,0.0004414036636504083
19,4988,5,96,0.021131410961919436
20,4988,5,7,0.0015408320493066256
21,4988,5,12,0.0026414263702399295
22,4988,5,35,0.007693998681028797
23,4988,5,3,0.0006594856012310398
24,4988,5,13,0.002857770938667839
25,4988,5,13,0.002857770938667839
26,4988,5,7,0.0015387997362057595
27,4988,5,6,0.0013315579227696406
28,4988,5,72,0.015978695073235686
29,4988,5,5,0.0011096316023080338
30,4988,5,4,0.000887705281846427
31,4988,5,5,0.0011096316023080338
32,4988,5,4,0.000887705281846427
33,4988,5,18,0.003974387281960698
34,4988,5,26,0.005740781629498786
35,4988,5,6,0.0013247957606535659
36,4988,5,6,0.0013247957606535659
37,4988,5,87,0.019260571175559
38,4988,5,2,0.00044277175116227583
39,4988,5,5,0.0011069293779056896
40,4988,5,5,0.0011069293779056896
41,4988,5,4,0.0008855435023245517
42,4988,5,32,0.007089056269384138
43,4988,5,2,0.00044306601683650863
44,4988,5,3,0.000664599025254763
45,4988,5,18,0.003962139555359894
46,4988,5,48,0.010565705480959718
47,4988,5,9,0.001981069777679947
48,4988,5,31,0.0068236847897864845
49,4988,5,24,0.005282852740479859
50,4988,5,5,0.001100594320933304
51,4988,5,3,0.0006603565925599824
52,4988,5,109,0.024131060438344034
53,4988,5,11,0.0024352446313925173
54,4988,5,8,0.0017710870046491033
55,4988,5,21,0.0046214788732394365
56,4988,5,41,0.00901098901098901
57,4988,5,8,0.0017582417582417582
58,4988,5,8,0.0017582417582417582
59,4988,5,19,0.004175824175824176
60,4988,5,3,0.0006593406593406593
61,4988,5,19,0.004200751713464515
62,4988,5,7,0.0015476453681185054
63,4988,5,25,0.0055273048861375195
64,4988,5,5,0.001105460977227504
65,4988,5,11,0.002428792227864871
66,4988,5,48,0.010598366085228527
67,4988,5,10,0.00220799293442261
68,4988,5,19,0.004195186575402959
69,4988,5,37,0.008169573857363657
70,4988,5,16,0.0035327886950761757
71,4988,5,17,0.003753587988518437
72,4988,5,2,0.00044159858688452196
73,4988,5,14,0.0030911901081916537
74,4988,5,15,0.003311989401633915
75,4988,5,16,0.0035281146637265713
76,4988,5,2,0.0004410143329658214
77,4988,5,17,0.0037486218302094816
78,4988,5,2,0.0004410143329658214
79,4988,5,6,0.001323042998897464
80,4988,5,5,0.0011025358324145535
81,4988,5,85,0.018772084805653712
82,4988,5,3,0.0006625441696113075
83,4988,5,17,0.003754416961130742
84,4988,5,16,0.0035335689045936395
85,4988,5,5,0.0011042402826855124
86,4988,5,2,0.00044169611307420494
87,4988,5,4,0.0008833922261484099
88,4988,5,16,0.0035531867643793028
89,4988,5,32,0.0071063735287586055
90,4988,5,10,0.0022207417277370642
91,4988,5,3,0.0006662225183211193
92,4988,5,8,0.0017667844522968198
93,4988,5,2,0.00044169611307420494
94,4988,5,95,0.02101769911504425
95,4988,5,7,0.0015486725663716814
96,4988,5,2,0.0004424778761061947
97,4988,5,4,0.0008849557522123894
98,4988,5,3,0.0006648936170212766
99,4988,5,83,0.018395390070921985
100,4988,5,2,0.0004432624113475177
101,4988,5,57,0.012635779206384394
102,4988,5,85,0.018842828641099534
103,4988,5,51,0.011305697184659722
104,4988,5,6,0.001330082021724673
105,4988,5,3,0.0006650410108623365
106,4988,5,27,0.005982716596499003
107,4988,5,14,0.0031021493463328164
108,4988,5,20,0.0044316419233325945
109,4988,5,10,0.0022158209616662972
110,4988,5,5,0.0011079104808331486
111,4988,5,83,0.0183587701835877
112,4988,5,8,0.0017695200176952002
113,4988,5,36,0.007926023778071334
114,4988,5,31,0.006825187142228093
115,4988,5,4,0.0008806693086745927
116,4988,5,52,0.01147396293027361
117,4988,5,44,0.009708737864077669
118,4988,5,16,0.00353045013239188
119,4988,5,5,0.0011032656663724624
120,4988,5,2,0.000441306266548985
121,4988,5,27,0.005943209333039842
122,4988,5,10,0.002201188641866608
123,4988,5,19,0.004182258419546555
124,4988,5,4,0.0008804754567466431
125,4988,5,2,0.00044023772837332157
126,4988,5,26,0.0057509400575094
127,4988,5,25,0.005529750055297501
128,4988,5,2,0.00044238000442380006
129,4988,5,19,0.0042026100420261
130,4988,5,3,0.0006635700066357001
131,4988,5,85,0.0188595518082982
132,4988,5,19,0.004215664521854893
133,4988,5,54,0.0119813623252718
134,4988,5,9,0.0019968937208786333
135,4988,5,43,0.009419496166484118
136,4988,5,70,0.01533406352683461
137,4988,5,44,0.00963855421686747
138,4988,5,4,0.0008762322015334064
139,4988,5,2,0.0004381161007667032
140,4988,5,4,0.0008802816901408451
141,4988,5,8,0.0017605633802816902
142,4988,5,2,0.00044014084507042255
143,4988,5,3,0.0006602112676056338
144,4988,5,2,0.00044014084507042255
145,4988,5,37,0.008160564622849581
146,4988,5,8,0.00176444640494045
147,4988,5,76,0.016710642040457344
148,4988,5,8,0.001759014951627089
149,4988,5,30,0.006596306068601583
150,4988,5,4,0.0008795074758135445
151,4988,5,2,0.00043975373790677223
