,n,k,n_in_cycles
0,1,7,346
1,3,7,284
2,1,7,261
3,1,7,389
4,1,7,361
5,2,7,348
6,1,7,433
7,1,7,366
8,3,7,345
9,1,7,408
10,1,7,282
11,1,7,404
12,1,7,353
13,1,7,400
14,1,7,388
15,2,7,419
16,2,7,276
17,1,7,368
18,1,7,408
19,2,7,465
20,1,7,365
21,1,7,320
22,1,7,285
23,3,7,313
24,2,7,276
25,2,7,358
26,1,7,306
27,2,7,351
28,2,7,404
29,1,7,291
30,1,7,308
31,1,7,400
32,1,7,308
33,3,7,289
34,2,7,311
35,1,7,211
36,1,7,333
37,3,7,242
38,3,7,287
39,1,7,419
40,1,7,334
41,1,7,322
42,2,7,404
43,1,7,388
44,1,7,350
45,1,7,247
46,1,7,409
47,3,7,201
48,2,7,345
49,2,7,342
50,1,7,355
51,2,7,275
52,1,7,354
53,1,7,452
54,1,7,354
55,1,7,327
56,1,7,402
57,1,7,340
58,2,7,386
59,2,7,414
60,1,7,380
61,1,7,356
62,3,7,184
63,1,7,348
64,1,7,347
65,1,7,349
66,3,7,298
67,1,7,423
68,2,7,310
69,1,7,296
70,2,7,221
71,3,7,318
72,2,7,438
73,2,7,325
74,1,7,215
75,3,7,246
76,1,7,328
77,2,7,292
78,3,7,296
79,1,7,342
80,2,7,340
81,1,7,315
82,1,7,278
83,1,7,244
84,1,7,275
85,2,7,382
86,1,7,332
87,3,7,311
88,1,7,321
89,1,7,339
90,1,7,304
91,1,7,302
92,2,7,310
93,2,7,318
94,1,7,354
95,1,7,349
96,3,7,384
97,1,7,287
98,1,7,375
99,1,7,280
