,n,k,n_in_cycles
0,1,4,2
1,1,4,3
2,1,4,3
3,0,4,0
4,0,4,0
5,0,4,0
6,0,4,0
7,0,4,0
8,1,4,17
9,1,4,2
10,0,4,0
11,0,4,0
12,2,4,5
13,0,4,0
14,0,4,0
15,0,4,0
16,0,4,0
17,2,4,21
18,0,4,0
19,0,4,0
20,1,4,8
21,1,4,4
22,0,4,0
23,1,4,4
24,2,4,6
25,1,4,13
26,2,4,14
27,0,4,0
28,1,4,4
29,0,4,0
30,0,4,0
31,3,4,20
32,2,4,9
33,1,4,17
34,0,4,0
35,1,4,12
36,1,4,3
37,2,4,6
38,0,4,0
39,0,4,0
40,1,4,2
41,0,4,0
42,1,4,2
43,1,4,4
44,1,4,4
45,1,4,3
46,0,4,0
47,3,4,7
48,0,4,0
49,1,4,6
50,2,4,8
51,1,4,2
52,0,4,0
53,1,4,2
54,2,4,14
55,0,4,0
56,1,4,4
57,2,4,6
58,1,4,2
59,2,4,5
60,0,4,0
61,0,4,0
62,2,4,20
63,0,4,0
64,0,4,0
65,0,4,0
66,0,4,0
67,1,4,5
68,1,4,3
69,1,4,4
70,0,4,0
71,2,4,6
72,1,4,4
73,2,4,7
74,0,4,0
75,1,4,2
76,0,4,0
77,1,4,4
78,0,4,0
79,0,4,0
80,0,4,0
81,0,4,0
82,0,4,0
83,0,4,0
84,1,4,3
85,1,4,6
86,0,4,0
87,0,4,0
88,0,4,0
89,0,4,0
90,1,4,5
91,1,4,2
92,2,4,7
93,0,4,0
94,1,4,11
95,2,4,6
96,1,4,3
97,0,4,0
98,0,4,0
99,0,4,0
