,n,k,n_changes_eadam,n_matches,n_iterations
0,1478,6,190,1369,56
1,1478,6,136,1372,37
2,1478,6,174,1373,50
3,1478,6,116,1366,58
4,1478,6,220,1370,54
5,1478,6,108,1375,36
6,1478,6,180,1373,52
7,1478,6,150,1350,55
8,1478,6,144,1374,37
9,1478,6,230,1369,44
10,1478,6,152,1374,56
11,1478,6,156,1374,34
12,1478,6,182,1374,34
13,1478,6,180,1371,44
14,1478,6,210,1387,49
15,1478,6,120,1370,42
16,1478,6,154,1373,43
17,1478,6,182,1367,49
18,1478,6,276,1371,37
19,1478,6,148,1383,69
20,1478,6,150,1377,37
21,1478,6,166,1373,43
22,1478,6,176,1374,33
23,1478,6,152,1371,32
24,1478,6,166,1372,34
25,1478,6,226,1367,37
26,1478,6,208,1374,35
27,1478,6,166,1378,40
28,1478,6,188,1381,43
29,1478,6,118,1384,32
30,1478,6,146,1383,59
31,1478,6,198,1364,38
32,1478,6,46,1377,60
33,1478,6,200,1373,48
34,1478,6,52,1357,58
35,1478,6,94,1366,36
36,1478,6,196,1366,44
37,1478,6,110,1369,26
38,1478,6,186,1369,46
39,1478,6,206,1375,42
40,1478,6,160,1364,72
41,1478,6,142,1369,53
42,1478,6,256,1367,49
43,1478,6,202,1362,44
44,1478,6,144,1352,47
45,1478,6,66,1368,54
46,1478,6,98,1374,49
47,1478,6,110,1375,47
48,1478,6,188,1368,48
49,1478,6,218,1376,37
50,1478,6,204,1370,46
51,1478,6,182,1369,48
52,1478,6,118,1360,35
53,1478,6,244,1372,52
54,1478,6,172,1365,26
55,1478,6,64,1374,55
56,1478,6,182,1371,44
57,1478,6,130,1374,47
58,1478,6,184,1363,46
59,1478,6,134,1370,36
60,1478,6,194,1373,38
61,1478,6,134,1354,45
62,1478,6,104,1368,33
63,1478,6,158,1361,40
64,1478,6,86,1379,57
65,1478,6,118,1372,43
66,1478,6,244,1380,27
67,1478,6,106,1376,53
68,1478,6,136,1366,39
69,1478,6,182,1373,42
70,1478,6,170,1373,45
71,1478,6,60,1380,42
72,1478,6,126,1366,56
73,1478,6,230,1377,45
74,1478,6,160,1368,69
75,1478,6,216,1380,58
76,1478,6,236,1372,38
77,1478,6,142,1368,53
78,1478,6,98,1373,66
79,1478,6,240,1378,51
80,1478,6,158,1374,61
81,1478,6,94,1367,42
82,1478,6,164,1373,50
83,1478,6,142,1379,37
84,1478,6,94,1361,59
85,1478,6,252,1370,53
86,1478,6,224,1373,43
87,1478,6,172,1380,48
88,1478,6,120,1383,44
89,1478,6,158,1374,51
90,1478,6,108,1370,53
91,1478,6,234,1366,44
92,1478,6,70,1360,43
93,1478,6,184,1376,45
94,1478,6,140,1374,42
95,1478,6,168,1368,42
96,1478,6,130,1367,51
97,1478,6,152,1371,50
98,1478,6,180,1368,48
99,1478,6,198,1384,69
