,n,k,n_changes_eadam,n_matches,n_iterations
0,657,8,252,630,33
1,657,8,238,620,36
2,657,8,194,628,30
3,657,8,238,621,32
4,657,8,172,624,28
5,657,8,138,626,36
6,657,8,128,622,27
7,657,8,114,621,36
8,657,8,174,624,46
9,657,8,112,625,35
10,657,8,228,619,37
11,657,8,208,623,32
12,657,8,180,627,34
13,657,8,120,626,28
14,657,8,192,627,33
15,657,8,228,628,45
16,657,8,168,627,37
17,657,8,176,624,31
18,657,8,186,621,22
19,657,8,224,626,40
20,657,8,152,621,30
21,657,8,154,626,40
22,657,8,228,632,31
23,657,8,156,623,27
24,657,8,126,626,32
25,657,8,172,623,31
26,657,8,170,621,39
27,657,8,198,621,46
28,657,8,274,625,30
29,657,8,240,627,36
30,657,8,262,625,31
31,657,8,200,629,37
32,657,8,198,617,36
33,657,8,190,628,48
34,657,8,204,626,22
35,657,8,220,620,25
36,657,8,238,624,43
37,657,8,178,623,32
38,657,8,202,627,40
39,657,8,156,624,24
40,657,8,256,625,37
41,657,8,276,624,32
42,657,8,198,626,30
43,657,8,160,630,33
44,657,8,176,623,28
45,657,8,190,626,37
46,657,8,174,629,35
47,657,8,178,629,37
48,657,8,144,625,34
49,657,8,154,619,28
50,657,8,272,629,32
51,657,8,204,624,32
52,657,8,210,622,33
53,657,8,150,625,34
54,657,8,212,622,36
55,657,8,240,627,26
56,657,8,174,626,37
57,657,8,268,625,40
58,657,8,198,626,49
59,657,8,236,624,34
60,657,8,198,622,40
61,657,8,218,627,32
62,657,8,152,622,42
63,657,8,150,626,25
64,657,8,246,623,29
65,657,8,126,626,37
66,657,8,236,629,40
67,657,8,192,627,34
68,657,8,216,630,31
69,657,8,214,627,29
70,657,8,98,630,27
71,657,8,210,626,28
72,657,8,218,623,33
73,657,8,152,635,31
74,657,8,176,625,36
75,657,8,208,632,27
76,657,8,178,627,26
77,657,8,192,623,38
78,657,8,204,628,32
79,657,8,256,631,36
80,657,8,282,631,35
81,657,8,164,629,33
82,657,8,168,626,51
83,657,8,148,622,21
84,657,8,188,625,36
85,657,8,200,630,29
86,657,8,288,624,36
87,657,8,172,622,34
88,657,8,226,622,30
89,657,8,192,622,33
90,657,8,176,616,36
91,657,8,248,627,28
92,657,8,140,627,39
93,657,8,174,625,36
94,657,8,174,625,39
95,657,8,142,622,43
96,657,8,174,630,36
97,657,8,262,628,34
98,657,8,160,623,44
99,657,8,236,629,40
