,n,k,n_changes_eadam,n_matches,n_iterations
0,195,4,0,168,12
1,195,4,0,175,9
2,195,4,0,173,10
3,195,4,0,167,7
4,195,4,0,170,14
5,195,4,4,176,11
6,195,4,10,172,12
7,195,4,0,170,19
8,195,4,6,170,10
9,195,4,4,172,11
10,195,4,0,169,12
11,195,4,12,167,7
12,195,4,0,173,15
13,195,4,6,174,13
14,195,4,14,174,8
15,195,4,14,170,15
16,195,4,8,173,8
17,195,4,4,170,15
18,195,4,0,176,9
19,195,4,8,171,15
20,195,4,0,172,10
21,195,4,0,178,11
22,195,4,12,168,9
23,195,4,4,168,13
24,195,4,8,170,9
25,195,4,0,176,8
26,195,4,0,169,11
27,195,4,4,170,9
28,195,4,0,171,12
29,195,4,12,170,14
30,195,4,4,174,9
31,195,4,20,173,15
32,195,4,0,171,16
33,195,4,18,172,11
34,195,4,0,171,14
35,195,4,0,173,14
36,195,4,14,172,15
37,195,4,0,173,7
38,195,4,0,175,10
39,195,4,4,169,14
40,195,4,0,169,11
41,195,4,0,168,12
42,195,4,4,169,17
43,195,4,0,166,11
44,195,4,14,170,11
45,195,4,12,171,9
46,195,4,4,172,7
47,195,4,0,172,9
48,195,4,4,173,18
49,195,4,0,173,14
50,195,4,0,170,18
51,195,4,10,171,16
52,195,4,0,167,10
53,195,4,0,177,7
54,195,4,0,171,11
55,195,4,4,171,18
56,195,4,0,171,10
57,195,4,0,170,16
58,195,4,0,172,15
59,195,4,0,171,9
60,195,4,10,172,17
61,195,4,0,170,14
62,195,4,4,175,9
63,195,4,4,172,9
64,195,4,22,174,13
65,195,4,0,168,11
66,195,4,6,169,11
67,195,4,6,171,17
68,195,4,4,175,13
69,195,4,10,171,6
70,195,4,0,167,9
71,195,4,12,172,10
72,195,4,0,176,8
73,195,4,26,174,13
74,195,4,0,177,19
75,195,4,0,174,11
76,195,4,10,167,15
77,195,4,0,174,11
78,195,4,22,168,10
79,195,4,4,169,8
80,195,4,6,175,8
81,195,4,0,177,9
82,195,4,0,174,10
83,195,4,0,173,8
84,195,4,22,172,11
85,195,4,22,175,11
86,195,4,0,165,11
87,195,4,0,173,8
88,195,4,6,170,9
89,195,4,6,177,13
90,195,4,14,170,22
91,195,4,0,172,12
92,195,4,0,173,15
93,195,4,0,167,13
94,195,4,22,171,8
95,195,4,0,175,18
96,195,4,0,172,14
97,195,4,12,173,14
98,195,4,0,175,9
99,195,4,0,176,12
