,n,k,n_in_cycles
0,1,5,5
1,1,5,27
2,1,5,2
3,1,5,13
4,1,5,24
5,1,5,40
6,1,5,15
7,0,5,0
8,1,5,18
9,2,5,4
10,1,5,25
11,1,5,4
12,2,5,13
13,1,5,32
14,2,5,35
15,2,5,7
16,2,5,9
17,2,5,14
18,1,5,14
19,1,5,2
20,4,5,21
21,0,5,0
22,1,5,3
23,1,5,15
24,3,5,7
25,1,5,6
26,1,5,4
27,1,5,4
28,2,5,26
29,1,5,23
30,2,5,14
31,3,5,17
32,1,5,2
33,4,5,28
34,4,5,12
35,4,5,16
36,1,5,5
37,0,5,0
38,3,5,13
39,1,5,23
40,0,5,0
41,2,5,19
42,0,5,0
43,3,5,29
44,1,5,7
45,1,5,31
46,2,5,20
47,1,5,26
48,2,5,24
49,1,5,4
50,2,5,16
51,1,5,23
52,1,5,2
53,1,5,2
54,1,5,4
55,1,5,3
56,1,5,20
57,1,5,4
58,1,5,15
59,1,5,7
60,1,5,4
61,2,5,4
62,1,5,19
63,2,5,22
64,2,5,10
65,1,5,35
66,2,5,10
67,2,5,5
68,1,5,2
69,1,5,12
70,1,5,6
71,2,5,9
72,1,5,21
73,2,5,18
74,3,5,9
75,1,5,3
76,1,5,15
77,3,5,6
78,3,5,19
79,2,5,8
80,2,5,5
81,1,5,12
82,1,5,7
83,1,5,7
84,1,5,7
85,1,5,5
86,1,5,4
87,0,5,0
88,0,5,0
89,1,5,2
90,1,5,3
91,0,5,0
92,2,5,4
93,2,5,11
94,3,5,19
95,2,5,9
96,1,5,10
97,2,5,7
98,0,5,0
99,2,5,7
