,n,k,n_in_cycles
0,1,8,304
1,2,8,351
2,1,8,352
3,1,8,273
4,1,8,301
5,2,8,259
6,2,8,326
7,1,8,318
8,1,8,308
9,1,8,309
10,2,8,271
11,2,8,327
12,1,8,320
13,1,8,337
14,2,8,158
15,2,8,307
16,1,8,300
17,3,8,279
18,2,8,244
19,1,8,345
20,2,8,335
21,1,8,307
22,2,8,190
23,1,8,350
24,1,8,263
25,1,8,241
26,1,8,309
27,1,8,299
28,1,8,223
29,1,8,364
30,2,8,249
31,1,8,293
32,2,8,408
33,1,8,310
34,1,8,300
35,1,8,374
36,1,8,388
37,2,8,296
38,1,8,309
39,1,8,325
40,3,8,275
41,2,8,263
42,2,8,369
43,1,8,351
44,1,8,356
45,1,8,318
46,1,8,269
47,1,8,283
48,1,8,332
49,1,8,294
50,1,8,278
51,1,8,289
52,1,8,238
53,2,8,306
54,1,8,290
55,2,8,357
56,1,8,385
57,3,8,329
58,1,8,285
59,3,8,311
60,1,8,324
61,2,8,247
62,1,8,261
63,1,8,290
64,1,8,306
65,2,8,318
66,1,8,339
67,1,8,233
68,1,8,230
69,2,8,355
70,2,8,358
71,1,8,267
72,1,8,331
73,1,8,367
74,1,8,344
75,1,8,273
76,1,8,280
77,1,8,354
78,1,8,285
79,2,8,380
80,1,8,353
81,1,8,256
82,1,8,278
83,2,8,326
84,1,8,440
85,1,8,338
86,2,8,312
87,1,8,294
88,1,8,326
89,1,8,350
90,1,8,326
91,2,8,377
92,2,8,378
93,2,8,334
94,1,8,237
95,1,8,298
96,1,8,355
97,2,8,339
98,1,8,354
99,1,8,313
