,n,k,n_in_cycles
0,1,8,2236
1,2,8,2321
2,1,8,2338
3,1,8,2380
4,2,8,2380
5,1,8,2353
6,1,8,2217
7,1,8,2350
8,1,8,2309
9,1,8,2079
10,1,8,2304
11,1,8,2252
12,1,8,2117
13,1,8,2233
14,1,8,2303
15,1,8,2394
16,2,8,2070
17,1,8,2397
18,1,8,2284
19,1,8,2441
20,1,8,2228
21,2,8,2383
22,1,8,2386
23,1,8,2211
24,1,8,2343
25,1,8,2280
26,1,8,2373
27,2,8,2446
28,1,8,2267
29,1,8,2366
30,2,8,2234
31,1,8,2279
32,1,8,2256
33,2,8,2418
34,1,8,2181
35,1,8,2316
36,1,8,2164
37,1,8,2322
38,1,8,2400
39,1,8,2214
40,1,8,2279
41,1,8,2369
42,1,8,2240
43,1,8,2188
44,1,8,2216
45,1,8,2609
46,1,8,2241
47,1,8,2232
48,2,8,2192
49,1,8,2386
50,1,8,2267
51,1,8,2147
52,1,8,2483
53,1,8,2513
54,2,8,2238
55,2,8,2307
56,1,8,2275
57,1,8,2485
58,1,8,2233
59,2,8,2112
60,1,8,2131
61,1,8,2204
62,1,8,2533
63,2,8,2161
64,1,8,2204
65,1,8,2035
66,3,8,2268
67,2,8,2154
68,1,8,2433
69,1,8,2386
70,1,8,2271
71,1,8,2439
72,2,8,2377
73,1,8,2283
74,1,8,2165
75,1,8,2436
76,1,8,2405
77,2,8,2341
78,1,8,2220
79,1,8,2151
80,1,8,2542
81,1,8,2165
82,2,8,2341
83,1,8,2548
84,1,8,2524
85,2,8,2557
86,2,8,2227
87,2,8,2287
88,1,8,2332
89,1,8,2171
90,3,8,2282
91,2,8,2465
92,1,8,2382
93,1,8,2310
94,1,8,2222
95,1,8,2192
96,1,8,2302
97,1,8,2346
98,1,8,2311
99,2,8,2453
