,n,k,n_in_cycles
0,3,5,35
1,3,5,60
2,4,5,111
3,2,5,38
4,2,5,104
5,2,5,16
6,3,5,13
7,2,5,14
8,3,5,36
9,3,5,35
10,2,5,26
11,0,5,0
12,6,5,36
13,2,5,42
14,1,5,16
15,1,5,4
16,3,5,16
17,2,5,25
18,3,5,53
19,2,5,8
20,1,5,98
21,1,5,109
22,3,5,8
23,2,5,141
24,1,5,3
25,3,5,11
26,3,5,99
27,2,5,73
28,3,5,13
29,1,5,25
30,3,5,60
31,3,5,10
32,2,5,15
33,3,5,67
34,1,5,107
35,1,5,103
36,2,5,40
37,1,5,110
38,4,5,18
39,3,5,15
40,3,5,18
41,2,5,26
42,3,5,25
43,2,5,8
44,1,5,12
45,4,5,76
46,4,5,19
47,4,5,80
48,4,5,48
49,1,5,24
50,1,5,24
51,2,5,116
52,4,5,71
53,2,5,15
54,5,5,41
55,1,5,97
56,4,5,28
57,4,5,45
58,6,5,23
59,2,5,32
60,4,5,145
61,1,5,5
62,4,5,42
63,5,5,35
64,5,5,78
65,3,5,22
66,2,5,17
67,1,5,12
68,1,5,4
69,2,5,9
70,1,5,54
71,3,5,103
72,1,5,4
73,1,5,8
74,4,5,24
75,4,5,88
76,2,5,47
77,3,5,25
78,3,5,44
79,3,5,68
80,3,5,23
81,3,5,74
82,3,5,24
83,3,5,9
84,4,5,58
85,1,5,3
86,0,5,0
87,4,5,11
88,1,5,42
89,1,5,34
90,1,5,70
91,5,5,57
92,2,5,17
93,3,5,132
94,3,5,77
95,3,5,31
96,1,5,9
97,2,5,9
98,1,5,3
99,3,5,46
