,n,k,n_in_cycles
0,1,6,372
1,2,6,240
2,3,6,322
3,1,6,408
4,1,6,382
5,1,6,431
6,1,6,132
7,4,6,280
8,1,6,343
9,2,6,301
10,1,6,199
11,4,6,330
12,1,6,301
13,1,6,272
14,1,6,378
15,1,6,234
16,2,6,254
17,3,6,173
18,2,6,294
19,3,6,314
20,1,6,294
21,4,6,348
22,2,6,227
23,1,6,342
24,2,6,248
25,6,6,270
26,2,6,246
27,1,6,263
28,1,6,379
29,2,6,237
30,2,6,229
31,2,6,257
32,2,6,249
33,2,6,280
34,3,6,331
35,1,6,249
36,3,6,184
37,4,6,305
38,2,6,386
39,1,6,261
40,1,6,217
41,1,6,295
42,2,6,274
43,1,6,409
44,2,6,148
45,2,6,204
46,1,6,188
47,2,6,196
48,4,6,269
49,3,6,246
50,2,6,335
51,1,6,273
52,1,6,208
53,2,6,400
54,2,6,252
55,1,6,143
56,1,6,310
57,2,6,329
58,1,6,310
59,4,6,309
60,2,6,401
61,1,6,296
62,3,6,280
63,3,6,214
64,2,6,290
65,3,6,273
66,1,6,312
67,1,6,319
68,2,6,258
69,2,6,194
70,1,6,232
71,1,6,284
72,1,6,403
73,2,6,368
74,1,6,339
75,1,6,250
76,1,6,203
77,1,6,221
78,2,6,294
79,3,6,242
80,3,6,210
81,2,6,280
82,1,6,353
83,3,6,252
84,1,6,193
85,1,6,218
86,1,6,367
87,3,6,222
88,1,6,314
89,1,6,274
90,1,6,312
91,4,6,268
92,1,6,331
93,2,6,323
94,1,6,374
95,1,6,302
96,1,6,230
97,1,6,304
98,2,6,288
99,1,6,274
