,n,k,n_in_cycles
0,1,4,3
1,0,4,0
2,0,4,0
3,1,4,8
4,0,4,0
5,0,4,0
6,1,4,10
7,1,4,5
8,2,4,7
9,3,4,6
10,5,4,14
11,1,4,4
12,1,4,2
13,0,4,0
14,1,4,4
15,2,4,7
16,3,4,8
17,1,4,3
18,1,4,3
19,1,4,6
20,0,4,0
21,0,4,0
22,0,4,0
23,0,4,0
24,0,4,0
25,0,4,0
26,1,4,4
27,0,4,0
28,2,4,15
29,0,4,0
30,1,4,2
31,1,4,7
32,0,4,0
33,0,4,0
34,1,4,5
35,3,4,15
36,0,4,0
37,1,4,2
38,4,4,26
39,0,4,0
40,1,4,2
41,0,4,0
42,1,4,4
43,2,4,6
44,1,4,9
45,1,4,2
46,2,4,7
47,0,4,0
48,2,4,11
49,0,4,0
50,0,4,0
51,1,4,7
52,1,4,7
53,1,4,2
54,1,4,2
55,1,4,2
56,1,4,2
57,0,4,0
58,1,4,2
59,1,4,6
60,2,4,4
61,1,4,4
62,0,4,0
63,1,4,3
64,0,4,0
65,1,4,2
66,2,4,8
67,0,4,0
68,2,4,11
69,1,4,2
70,0,4,0
71,3,4,7
72,1,4,3
73,0,4,0
74,1,4,7
75,0,4,0
76,1,4,4
77,0,4,0
78,0,4,0
79,2,4,9
80,1,4,8
81,2,4,7
82,1,4,2
83,0,4,0
84,0,4,0
85,0,4,0
86,0,4,0
87,0,4,0
88,0,4,0
89,0,4,0
90,0,4,0
91,2,4,12
92,1,4,5
93,1,4,3
94,1,4,7
95,2,4,5
96,0,4,0
97,0,4,0
98,0,4,0
99,1,4,12
